,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Волгоградская область,Алексеевская,101,1390,1425,0,919,295,211,295,919,7,1207,0,0,5,66,25,1103,1,3,2,2
1,Волгоградская область,Алексеевская,102,1697,1786,0,944,209,633,209,944,4,1149,0,0,14,180,67,861,9,8,6,4
2,Волгоградская область,Алексеевская,103,1045,1100,0,507,446,147,446,507,3,950,0,0,2,16,10,917,2,1,1,1
3,Волгоградская область,Алексеевская,104,439,455,0,274,114,67,114,274,1,387,0,0,1,12,7,361,3,2,1,0
4,Волгоградская область,Алексеевская,105,134,135,0,77,40,18,40,77,0,117,0,0,0,6,5,104,0,2,0,0
5,Волгоградская область,Алексеевская,106,512,535,0,330,111,94,111,330,0,441,0,0,1,14,19,405,0,1,1,0
6,Волгоградская область,Алексеевская,107,485,505,0,284,109,112,109,284,2,391,0,0,1,42,17,327,0,3,1,0
7,Волгоградская область,Алексеевская,108,296,306,0,176,73,57,73,176,0,249,0,0,0,25,8,213,2,0,1,0
8,Волгоградская область,Алексеевская,109,181,195,0,124,30,41,30,124,0,154,0,0,0,7,8,139,0,0,0,0
9,Волгоградская область,Алексеевская,110,426,435,0,157,214,64,214,157,2,369,0,0,1,17,7,341,2,1,0,0
10,Волгоградская область,Алексеевская,111,773,795,0,460,176,159,176,460,30,606,0,0,4,30,21,545,2,1,3,0
11,Волгоградская область,Алексеевская,112,567,565,0,355,99,111,99,355,3,451,0,0,2,20,24,398,0,7,0,0
12,Волгоградская область,Алексеевская,113,419,440,0,267,85,88,85,267,0,352,0,0,2,21,10,317,0,1,1,0
13,Волгоградская область,Алексеевская,114,1564,1617,0,852,377,388,377,852,14,1215,0,0,10,133,92,946,10,12,7,5
14,Волгоградская область,Алексеевская,115,287,305,0,131,115,59,115,131,1,245,0,0,1,20,19,203,1,1,0,0
15,Волгоградская область,Алексеевская,116,582,575,0,353,163,59,163,353,0,516,0,0,2,17,24,465,2,3,1,2
16,Волгоградская область,Алексеевская,117,352,375,0,193,145,37,145,193,1,337,0,0,1,6,10,318,1,0,0,1
17,Волгоградская область,Алексеевская,118,439,455,0,306,72,77,72,306,3,375,0,0,0,11,14,348,0,1,1,0
18,Волгоградская область,Алексеевская,119,630,660,0,452,84,124,84,452,5,531,0,0,2,7,15,497,4,6,0,0
19,Волгоградская область,Алексеевская,120,129,140,0,69,36,35,36,69,0,105,0,0,0,2,3,99,0,1,0,0
20,Волгоградская область,Быковская,201,1174,1258,0,630,80,548,80,630,8,702,0,0,7,117,47,514,11,2,2,2
21,Волгоградская область,Быковская,202,1407,1465,0,750,36,679,36,750,10,776,0,0,3,120,41,594,5,3,5,5
22,Волгоградская область,Быковская,203,1282,1304,0,610,54,640,54,610,10,654,0,0,2,106,33,499,6,5,0,3
23,Волгоградская область,Быковская,204,1102,1173,0,617,57,499,57,617,5,669,0,0,2,136,50,469,2,5,1,4
24,Волгоградская область,Быковская,205,835,933,0,462,27,444,27,462,8,481,0,0,4,80,30,358,6,2,1,0
25,Волгоградская область,Быковская,206,330,343,0,209,14,120,14,209,0,223,0,0,0,27,26,166,1,2,0,1
26,Волгоградская область,Быковская,207,279,290,0,168,0,122,0,168,1,167,0,0,2,20,5,137,1,0,1,1
27,Волгоградская область,Быковская,208,571,624,0,234,58,332,58,234,3,289,0,0,2,31,23,218,4,3,2,6
28,Волгоградская область,Быковская,209,1170,1338,0,529,150,659,150,529,2,677,0,0,7,62,50,550,2,4,1,1
29,Волгоградская область,Быковская,210,429,487,0,195,49,243,49,195,1,243,0,0,1,23,8,208,1,1,0,1
30,Волгоградская область,Быковская,211,494,525,0,280,27,218,27,280,1,306,0,0,6,24,28,232,4,5,4,3
31,Волгоградская область,Быковская,212,1081,1168,0,438,189,541,189,438,4,623,0,0,4,66,23,522,5,1,2,0
32,Волгоградская область,Быковская,213,785,848,0,336,81,431,81,336,1,416,0,0,0,43,21,347,2,2,1,0
33,Волгоградская область,Быковская,214,996,1102,0,584,81,437,81,584,10,655,0,0,4,77,19,536,10,4,2,3
34,Волгоградская область,Быковская,215,679,767,0,317,168,282,168,317,4,481,0,0,6,35,32,395,10,2,0,1
35,Волгоградская область,Быковская,216,1148,1352,0,650,179,523,179,650,5,824,0,0,2,67,41,703,5,4,1,1
36,Волгоградская область,Быковская,217,671,659,0,383,23,253,23,383,6,400,0,0,2,58,36,297,6,1,0,0
37,Волгоградская область,Быковская,218,1219,1299,0,542,181,576,181,542,7,716,0,0,3,64,34,596,3,7,5,4
38,Волгоградская область,Быковская,219,1193,1215,0,554,114,547,114,554,3,665,0,0,3,56,61,528,7,5,3,2
39,Волгоградская область,Быковская,220,269,340,0,180,16,144,16,180,3,193,0,0,0,18,13,149,5,4,1,3
40,Волгоградская область,Быковская,221,901,946,0,304,148,494,148,304,5,447,0,0,6,40,30,364,4,1,1,1
41,Волгоградская область,Быковская,222,1197,1290,0,459,199,632,199,459,3,655,0,0,6,44,26,574,2,3,0,0
42,Волгоградская область,"Волгоград, Ворошиловская",301,2397,2250,0,1518,292,440,292,1518,19,1791,0,0,14,227,94,1278,70,15,28,65
43,Волгоградская область,"Волгоград, Ворошиловская",302,2210,2150,0,1652,114,384,114,1652,5,1761,0,0,5,41,21,1655,16,6,3,14
44,Волгоградская область,"Волгоград, Ворошиловская",303,2372,1900,0,1708,95,97,95,1708,24,1779,0,0,21,250,92,1252,76,14,20,54
45,Волгоградская область,"Волгоград, Ворошиловская",304,2362,2250,0,1471,53,726,53,1471,21,1503,0,0,17,229,79,1067,43,7,20,41
46,Волгоградская область,"Волгоград, Ворошиловская",305,2473,2300,0,1500,37,763,37,1500,20,1517,0,0,23,195,78,1100,50,15,21,35
