,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Республика Адыгея (Адыгея),Адыгейская,1,2256,2181,0,2107,62,12,62,2107,3,2166,0,0,0,137,32,1977,14,0,1,5
1,Республика Адыгея (Адыгея),Адыгейская,2,2700,2633,0,2575,41,17,41,2575,22,2594,0,0,15,86,65,2389,13,5,6,15
2,Республика Адыгея (Адыгея),Адыгейская,3,2858,2752,0,2664,75,13,75,2664,5,2734,0,0,1,62,13,2645,6,3,4,0
3,Республика Адыгея (Адыгея),Адыгейская,4,2066,2034,0,1857,142,35,142,1857,21,1978,0,0,5,288,12,1642,21,6,2,2
4,Республика Адыгея (Адыгея),Адыгейская,5,700,714,0,676,11,27,11,676,3,684,0,0,2,44,6,624,6,0,0,2
5,Республика Адыгея (Адыгея),Адыгейская,6,1044,1036,0,954,68,14,68,954,3,1019,0,0,1,38,21,952,2,2,2,1
6,Республика Адыгея (Адыгея),Гиагинская,7,2474,2395,0,1792,200,403,200,1792,20,1972,0,0,9,243,82,1599,18,11,10,0
7,Республика Адыгея (Адыгея),Гиагинская,8,1818,1770,0,1543,111,116,111,1543,16,1638,0,0,7,151,69,1388,9,7,2,5
8,Республика Адыгея (Адыгея),Гиагинская,9,2402,2318,0,2073,173,72,173,2073,32,2214,0,0,9,284,85,1802,7,17,6,4
9,Республика Адыгея (Адыгея),Гиагинская,10,1772,1783,0,1640,126,17,126,1640,20,1746,0,0,12,160,69,1484,10,6,2,3
10,Республика Адыгея (Адыгея),Гиагинская,11,1604,1588,0,966,131,491,131,966,25,1072,0,0,17,173,57,803,5,6,8,3
11,Республика Адыгея (Адыгея),Гиагинская,12,1243,1283,0,1008,105,170,105,1008,17,1096,0,0,38,107,39,878,16,7,5,6
12,Республика Адыгея (Адыгея),Гиагинская,13,1217,1258,0,944,134,180,134,944,13,1065,0,0,14,131,83,778,10,20,21,8
13,Республика Адыгея (Адыгея),Гиагинская,14,943,892,0,816,66,10,66,816,7,875,0,0,3,111,47,704,1,4,2,3
14,Республика Адыгея (Адыгея),Гиагинская,15,164,152,0,123,14,15,14,123,4,133,0,0,1,5,6,118,1,2,0,0
15,Республика Адыгея (Адыгея),Гиагинская,16,892,866,0,780,66,20,66,780,6,840,0,0,2,54,30,745,4,3,1,1
16,Республика Адыгея (Адыгея),Гиагинская,17,123,120,0,108,0,12,0,108,2,106,0,0,1,17,7,80,0,0,1,0
17,Республика Адыгея (Адыгея),Гиагинская,18,65,62,0,52,4,6,4,52,1,55,0,0,0,4,9,40,0,0,1,1
18,Республика Адыгея (Адыгея),Гиагинская,19,950,913,0,852,57,4,57,852,14,895,0,0,8,79,39,742,10,9,5,3
19,Республика Адыгея (Адыгея),Гиагинская,20,1215,1190,0,1140,45,5,45,1140,8,1177,0,0,3,82,41,1036,6,1,6,2
20,Республика Адыгея (Адыгея),Гиагинская,21,778,758,0,697,59,2,59,697,30,726,0,0,5,45,23,641,5,4,2,1
21,Республика Адыгея (Адыгея),Гиагинская,22,478,446,0,409,33,4,33,409,1,441,0,0,2,40,24,373,0,1,1,0
22,Республика Адыгея (Адыгея),Гиагинская,23,1028,954,0,812,126,16,126,812,9,929,0,0,4,73,18,829,4,1,0,0
23,Республика Адыгея (Адыгея),Гиагинская,24,950,879,0,652,129,98,129,652,12,769,0,0,5,76,40,642,1,1,4,0
24,Республика Адыгея (Адыгея),Гиагинская,25,153,141,0,128,11,2,11,128,3,136,0,0,1,17,0,118,0,0,0,0
25,Республика Адыгея (Адыгея),Гиагинская,26,641,607,0,523,63,21,63,523,11,575,0,0,5,43,31,486,4,4,1,1
26,Республика Адыгея (Адыгея),Гиагинская,27,178,162,0,145,14,3,14,145,0,159,0,0,0,11,2,145,1,0,0,0
27,Республика Адыгея (Адыгея),Гиагинская,28,675,633,0,588,41,4,41,588,17,612,0,0,14,49,63,407,17,13,7,42
28,Республика Адыгея (Адыгея),Гиагинская,29,1165,1115,0,1051,49,15,49,1051,11,1089,0,0,40,122,50,867,4,4,2,0
29,Республика Адыгея (Адыгея),Гиагинская,30,121,110,0,108,0,2,0,108,0,108,0,0,1,16,5,84,1,1,0,0
30,Республика Адыгея (Адыгея),Кошехабльская,31,2021,2020,0,1889,126,5,126,1889,6,2009,0,0,3,42,7,1948,2,2,1,4
31,Республика Адыгея (Адыгея),Кошехабльская,32,151,145,0,117,18,10,18,117,3,132,0,0,1,3,2,123,1,1,0,1
32,Республика Адыгея (Адыгея),Кошехабльская,33,190,186,0,154,18,14,18,154,3,169,0,0,1,2,3,160,1,1,0,1
33,Республика Адыгея (Адыгея),Кошехабльская,34,415,408,0,373,18,17,18,373,2,389,0,0,2,12,7,363,2,1,1,1
34,Республика Адыгея (Адыгея),Кошехабльская,35,1961,1955,0,1831,105,19,105,1831,0,1936,0,0,3,36,25,1859,5,3,2,3
35,Республика Адыгея (Адыгея),Кошехабльская,36,550,536,0,497,12,27,12,497,3,506,0,0,2,15,5,479,2,1,1,1
36,Республика Адыгея (Адыгея),Кошехабльская,37,1074,1074,0,969,95,10,95,969,4,1060,0,0,3,29,15,1001,3,2,3,4
37,Республика Адыгея (Адыгея),Кошехабльская,38,1219,1200,0,1075,108,17,108,1075,3,1180,0,0,2,35,14,1118,4,2,2,3
38,Республика Адыгея (Адыгея),Кошехабльская,39,159,150,0,132,8,10,8,132,2,138,0,0,2,4,5,121,2,2,1,1
39,Республика Адыгея (Адыгея),Кошехабльская,40,1719,1702,0,1511,154,37,154,1511,7,1658,0,0,4,42,26,1575,3,2,2,4
40,Республика Адыгея (Адыгея),Кошехабльская,41,1182,1182,0,1066,105,11,105,1066,3,1168,0,0,2,43,5,1111,3,1,1,2
41,Республика Адыгея (Адыгея),Кошехабльская,42,1229,1233,0,1112,109,12,109,1112,6,1215,0,0,1,34,8,1165,1,2,2,2
42,Республика Адыгея (Адыгея),Кошехабльская,43,726,715,0,672,14,29,14,672,5,681,0,0,2,22,12,637,3,2,1,2
43,Республика Адыгея (Адыгея),Кошехабльская,44,1462,1462,0,1320,129,13,129,1320,6,1443,0,0,2,36,10,1389,2,1,1,2
44,Республика Адыгея (Адыгея),Кошехабльская,45,2070,2070,0,1879,179,12,179,1879,5,2053,0,0,3,26,8,2005,4,1,2,4
