,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Чувашская Республика - Чувашия,Алатырская,101,665,704,0,563,78,63,78,563,2,639,0,0,3,13,8,609,3,2,1,0
1,Чувашская Республика - Чувашия,Алатырская,102,285,288,0,218,55,15,55,218,0,273,0,0,0,20,12,235,3,3,0,0
2,Чувашская Республика - Чувашия,Алатырская,103,402,413,0,349,41,23,41,349,3,387,0,0,0,16,15,352,3,1,0,0
3,Чувашская Республика - Чувашия,Алатырская,104,465,487,0,333,117,37,117,333,1,449,0,0,2,7,12,423,1,3,1,0
4,Чувашская Республика - Чувашия,Алатырская,105,593,618,0,508,53,57,53,508,0,561,0,0,4,22,11,515,1,5,3,0
5,Чувашская Республика - Чувашия,Алатырская,106,588,600,0,477,90,33,90,477,1,566,0,0,4,24,18,512,2,3,3,0
6,Чувашская Республика - Чувашия,Алатырская,107,659,690,0,415,212,63,212,415,2,625,0,0,0,37,15,570,1,1,0,1
7,Чувашская Республика - Чувашия,Алатырская,108,727,760,0,569,98,93,98,569,3,664,0,0,2,90,26,539,1,2,3,1
8,Чувашская Республика - Чувашия,Алатырская,109,538,556,0,346,98,112,98,346,3,441,0,0,3,22,24,383,7,1,0,1
9,Чувашская Республика - Чувашия,Алатырская,110,442,515,0,307,118,90,118,307,1,424,0,0,2,13,8,399,0,1,0,1
10,Чувашская Республика - Чувашия,Алатырская,111,226,240,0,158,51,31,51,158,1,208,0,0,0,17,5,185,0,1,0,0
11,Чувашская Республика - Чувашия,Алатырская,112,169,178,0,119,43,16,43,119,1,161,0,0,0,6,8,147,0,0,0,0
12,Чувашская Республика - Чувашия,Алатырская,113,337,357,0,259,52,46,52,259,2,309,0,0,1,23,11,268,0,2,3,1
13,Чувашская Республика - Чувашия,Алатырская,114,249,263,0,182,37,44,37,182,4,215,0,0,0,27,12,173,0,0,3,0
14,Чувашская Республика - Чувашия,Алатырская,115,538,548,0,498,25,25,25,498,3,520,0,0,2,35,21,456,2,4,0,0
15,Чувашская Республика - Чувашия,Алатырская,116,326,333,0,254,40,39,40,254,3,291,0,0,3,31,14,240,2,0,1,0
16,Чувашская Республика - Чувашия,Алатырская,117,535,584,0,445,65,74,65,445,2,508,0,0,2,40,29,433,1,2,0,1
17,Чувашская Республика - Чувашия,Алатырская,118,789,885,0,597,115,173,115,597,4,708,0,0,7,49,52,582,4,6,3,5
18,Чувашская Республика - Чувашия,Алатырская,119,487,511,0,420,47,44,47,420,3,464,0,0,0,11,6,447,0,0,0,0
19,Чувашская Республика - Чувашия,Алатырская,120,542,632,0,493,35,104,35,493,4,524,0,0,3,47,16,452,2,1,2,1
20,Чувашская Республика - Чувашия,Алатырская,121,572,681,0,480,78,123,78,480,0,558,0,0,0,44,8,504,2,0,0,0
21,Чувашская Республика - Чувашия,Алатырская,122,1104,1125,0,902,140,83,140,902,15,1027,0,0,1,87,49,872,7,6,3,2
22,Чувашская Республика - Чувашия,Алатырская,123,970,1003,0,714,104,185,104,714,10,808,0,0,2,70,62,658,4,12,0,0
23,Чувашская Республика - Чувашия,Алатырская,124,220,215,0,184,28,3,28,184,4,208,0,0,0,17,10,176,2,3,0,0
24,Чувашская Республика - Чувашия,Алатырская городская,2601,692,600,0,427,73,100,73,427,11,489,0,0,2,63,26,393,0,2,2,1
