,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Челябинская область,Агаповская,1544,1799,1700,0,1191,74,435,74,1191,13,1252,0,0,5,232,69,905,9,12,11,9
1,Челябинская область,Агаповская,1545,1649,1600,0,1096,67,437,67,1096,22,1141,0,0,10,202,66,832,14,6,5,6
2,Челябинская область,Агаповская,1546,1962,1900,0,1304,77,519,77,1304,22,1359,0,0,6,241,98,968,19,8,9,10
3,Челябинская область,Агаповская,1547,394,350,0,300,18,32,18,300,3,315,0,0,5,55,25,226,2,2,0,0
4,Челябинская область,Агаповская,1548,317,300,0,228,21,51,21,228,3,246,0,0,2,42,10,184,6,2,0,0
5,Челябинская область,Агаповская,1549,1009,1000,0,685,42,273,42,685,14,713,0,0,2,134,70,489,10,1,3,4
6,Челябинская область,Агаповская,1550,625,600,0,404,46,150,46,404,9,441,0,0,6,58,42,318,4,4,4,5
7,Челябинская область,Агаповская,1551,489,450,0,299,20,131,20,299,2,317,0,0,2,61,31,213,4,5,1,0
8,Челябинская область,Агаповская,1552,206,200,0,128,17,55,17,128,3,142,0,0,0,17,13,112,0,0,0,0
9,Челябинская область,Агаповская,1553,160,150,0,109,15,26,15,109,0,124,0,0,0,19,9,93,1,1,0,1
10,Челябинская область,Агаповская,1554,292,250,0,189,22,39,22,189,0,211,0,0,3,15,22,167,0,4,0,0
11,Челябинская область,Агаповская,1555,262,250,0,176,15,59,15,176,2,189,0,0,1,21,26,138,1,0,0,2
12,Челябинская область,Агаповская,1556,648,650,0,462,67,121,67,462,4,525,0,0,1,54,44,421,1,1,1,2
13,Челябинская область,Агаповская,1557,682,650,0,377,40,233,40,377,4,413,0,0,2,75,24,302,3,1,1,5
14,Челябинская область,Агаповская,1558,220,200,0,164,29,7,29,164,3,190,0,0,0,21,13,152,0,1,1,2
15,Челябинская область,Агаповская,1559,770,750,0,468,51,231,51,468,8,511,0,0,5,65,26,396,3,7,2,7
16,Челябинская область,Агаповская,1560,539,550,0,297,32,221,32,297,4,325,0,0,2,35,43,238,2,3,0,2
17,Челябинская область,Агаповская,1561,238,200,0,109,45,46,45,109,1,153,0,0,0,26,14,110,0,1,2,0
18,Челябинская область,Агаповская,1562,169,150,0,102,17,31,17,102,0,119,0,0,0,8,8,100,1,2,0,0
19,Челябинская область,Агаповская,1563,364,350,0,206,42,102,42,206,4,244,0,0,2,36,10,188,1,6,1,0
20,Челябинская область,Агаповская,1564,164,150,0,111,8,31,8,111,0,119,0,0,0,8,13,98,0,0,0,0
21,Челябинская область,Агаповская,1565,94,90,0,80,9,1,9,80,0,89,0,0,0,1,4,84,0,0,0,0
22,Челябинская область,Агаповская,1566,1362,1300,0,891,35,374,35,891,24,902,0,0,7,174,57,649,2,6,1,6
23,Челябинская область,Агаповская,1567,327,300,0,229,32,39,32,229,6,255,0,0,0,31,14,209,0,1,0,0
24,Челябинская область,Агаповская,1568,1029,1000,0,602,79,319,79,602,10,671,0,0,4,102,49,507,5,2,2,0
25,Челябинская область,Агаповская,1569,547,550,0,368,39,143,39,368,9,398,0,0,1,60,18,315,3,0,1,0
26,Челябинская область,Агаповская,1570,303,300,0,189,47,64,47,189,3,233,0,0,0,28,10,189,1,3,1,1
27,Челябинская область,Агаповская,1571,336,300,0,193,36,71,36,193,1,228,0,0,2,29,42,148,3,4,0,0
28,Челябинская область,Агаповская,1572,1770,1800,0,940,68,792,68,940,12,996,0,0,5,127,80,754,9,14,4,3
29,Челябинская область,Агаповская,1573,426,400,0,295,24,81,24,295,1,318,0,0,1,48,28,236,1,0,1,3
30,Челябинская область,Агаповская,1574,466,450,0,307,29,114,29,307,3,333,0,0,3,32,31,259,3,1,4,0
31,Челябинская область,Агаповская,1575,326,300,0,252,28,20,28,252,38,242,0,0,1,45,28,163,2,1,0,2
32,Челябинская область,Агаповская,1576,703,700,0,455,50,195,50,455,5,500,0,0,0,33,30,427,3,4,0,3
33,Челябинская область,Агаповская,1577,227,200,0,162,18,20,18,162,3,177,0,0,0,13,10,152,2,0,0,0
34,Челябинская область,Агаповская,1578,194,190,0,135,25,30,25,135,2,158,0,0,0,16,5,132,1,4,0,0
35,Челябинская область,Агаповская,1579,154,150,0,74,43,33,43,74,0,117,0,0,0,5,7,101,4,0,0,0
36,Челябинская область,Агаповская,1580,183,150,0,128,13,9,13,128,1,140,0,0,1,12,12,111,1,1,1,1
37,Челябинская область,Агаповская,1581,276,250,0,197,16,37,16,197,0,213,0,0,1,29,11,168,2,0,2,0
38,Челябинская область,Агаповская,1582,157,150,0,100,11,39,11,100,3,108,0,0,2,16,4,84,1,1,0,0
39,Челябинская область,Агаповская,1583,116,100,0,70,6,24,6,70,0,76,0,0,2,5,2,66,0,1,0,0
40,Челябинская область,Агаповская,1584,643,600,0,522,41,37,41,522,2,561,0,0,0,77,14,453,13,3,0,1
41,Челябинская область,Агаповская,1585,158,150,0,103,28,19,28,103,0,131,0,0,0,11,6,111,1,2,0,0
42,Челябинская область,Агаповская,1586,967,950,0,644,68,238,68,644,14,698,0,0,5,115,28,540,3,2,3,2
43,Челябинская область,Агаповская,1587,471,450,0,316,47,87,47,316,4,359,0,0,1,22,31,296,5,4,0,0
44,Челябинская область,Агаповская,2320,1075,1000,0,654,67,279,67,654,10,711,0,0,3,136,46,514,4,5,1,2
45,Челябинская область,Агаповская,2321,223,200,0,157,11,32,11,157,1,167,0,0,2,17,9,134,1,0,1,3
46,Челябинская область,Аргаяшская,1,1459,1570,0,894,70,606,70,894,15,949,0,0,9,179,48,686,12,8,3,4
47,Челябинская область,Аргаяшская,2,1684,1660,0,974,95,591,95,974,15,1054,0,0,6,172,42,801,11,7,6,9
48,Челябинская область,Аргаяшская,3,1679,1670,0,1014,55,601,55,1014,17,1052,0,0,6,172,46,789,9,12,7,11
49,Челябинская область,Аргаяшская,4,1963,2020,0,1165,39,816,39,1165,17,1187,0,0,6,184,72,887,11,15,6,6
50,Челябинская область,Аргаяшская,5,1025,1045,0,689,21,335,21,689,10,700,0,0,6,118,45,505,10,4,5,7
51,Челябинская область,Аргаяшская,6,1015,1010,0,682,26,302,26,682,10,698,0,0,3,116,12,534,9,14,3,7
52,Челябинская область,Аргаяшская,7,148,140,0,99,3,38,3,99,2,100,0,0,0,8,0,91,0,0,1,0
53,Челябинская область,Аргаяшская,8,277,290,0,212,22,56,22,212,4,230,0,0,3,26,7,186,2,2,0,4
54,Челябинская область,Аргаяшская,9,583,590,0,375,28,187,28,375,7,396,0,0,0,49,9,333,3,2,0,0
55,Челябинская область,Аргаяшская,10,253,260,0,179,13,68,13,179,1,191,0,0,1,34,8,142,5,1,0,0
56,Челябинская область,Аргаяшская,11,242,230,0,163,3,64,3,163,2,164,0,0,0,12,10,137,1,0,3,1
57,Челябинская область,Аргаяшская,12,191,200,0,136,4,60,4,136,3,137,0,0,0,19,6,105,5,1,0,1
58,Челябинская область,Аргаяшская,13,635,620,0,474,40,106,40,474,7,507,0,0,2,60,17,412,7,2,1,6
59,Челябинская область,Аргаяшская,14,174,170,0,153,11,6,11,153,2,162,0,0,0,31,7,120,2,1,0,1
60,Челябинская область,Аргаяшская,15,713,700,0,486,28,186,28,486,6,508,0,0,1,60,13,416,9,5,1,3
61,Челябинская область,Аргаяшская,16,495,510,0,278,25,207,25,278,2,301,0,0,0,56,7,230,3,2,1,2
62,Челябинская область,Аргаяшская,17,695,685,0,416,46,223,46,416,6,456,0,0,5,80,11,351,2,6,0,1
63,Челябинская область,Аргаяшская,18,458,475,0,288,21,166,21,288,6,303,0,0,0,50,6,242,1,2,0,2
64,Челябинская область,Аргаяшская,19,207,220,0,129,17,74,17,129,2,144,0,0,1,19,3,119,0,0,1,1
65,Челябинская область,Аргаяшская,20,235,240,0,133,11,96,11,133,3,141,0,0,0,18,0,122,0,0,1,0
66,Челябинская область,Аргаяшская,21,1223,1230,0,877,37,316,37,877,12,902,0,0,3,152,12,704,19,6,5,1
67,Челябинская область,Аргаяшская,22,414,410,0,286,14,110,14,286,4,296,0,0,3,45,10,234,2,1,1,0
68,Челябинская область,Аргаяшская,23,497,500,0,332,12,156,12,332,2,342,0,0,1,41,12,278,4,4,0,2
69,Челябинская область,Аргаяшская,24,205,200,0,159,7,34,7,159,2,164,0,0,1,27,4,126,2,3,0,1
70,Челябинская область,Аргаяшская,25,1755,1620,0,1186,30,404,30,1186,18,1198,0,0,10,189,57,897,19,9,8,9
71,Челябинская область,Аргаяшская,26,754,770,0,487,11,272,11,487,5,493,0,0,1,79,7,394,4,6,0,2
72,Челябинская область,Аргаяшская,27,558,575,0,420,9,146,9,420,5,424,0,0,1,81,6,325,3,6,2,0
73,Челябинская область,Аргаяшская,28,124,115,0,81,4,30,4,81,1,84,0,0,0,2,1,80,1,0,0,0
74,Челябинская область,Аргаяшская,29,132,138,0,100,1,37,1,100,1,100,0,0,2,10,3,80,2,0,3,0
75,Челябинская область,Аргаяшская,30,269,290,0,225,9,56,9,225,1,233,0,0,1,19,8,200,1,3,0,1
76,Челябинская область,Аргаяшская,31,178,187,0,96,12,79,12,96,1,107,0,0,0,26,3,76,1,1,0,0
