,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Забайкальский край,"Чита, Центральная",101,2751,2600,0,1434,35,1131,35,1434,13,1456,0,0,8,202,135,1065,23,13,5,5
1,Забайкальский край,"Чита, Центральная",102,2340,2200,0,1450,51,699,51,1450,24,1477,0,0,16,227,123,1050,29,13,11,8
2,Забайкальский край,"Чита, Центральная",103,2738,2600,0,1698,47,855,47,1697,30,1714,0,0,11,250,148,1221,38,12,14,20
3,Забайкальский край,"Чита, Центральная",104,2844,2700,0,1886,23,791,23,1886,98,1811,0,0,12,251,144,1352,27,6,12,7
4,Забайкальский край,"Чита, Центральная",105,3072,2700,0,2025,24,651,24,2025,15,2034,0,0,10,324,147,1468,33,11,24,17
5,Забайкальский край,"Чита, Центральная",106,2567,2400,0,1623,41,736,41,1623,22,1642,0,0,12,238,137,1188,26,14,11,16
6,Забайкальский край,"Чита, Центральная",107,2461,2300,0,1342,30,928,30,1342,20,1352,0,0,10,189,163,949,19,9,8,5
7,Забайкальский край,"Чита, Центральная",108,2503,2500,0,1448,31,1021,31,1448,17,1462,0,0,19,172,166,1043,21,12,11,18
8,Забайкальский край,"Чита, Центральная",109,2574,2500,0,1605,33,862,33,1605,18,1620,0,0,12,225,133,1201,22,13,9,5
9,Забайкальский край,"Чита, Центральная",110,2561,2500,0,1619,32,849,32,1619,14,1637,0,0,8,235,146,1184,22,15,12,15
10,Забайкальский край,"Чита, Центральная",111,2131,2000,0,1533,11,456,11,1533,11,1533,0,0,7,261,93,1095,38,7,13,19
11,Забайкальский край,"Чита, Центральная",112,2781,2500,0,1613,157,730,157,1612,18,1751,0,0,14,263,138,1276,28,12,10,10
12,Забайкальский край,"Чита, Центральная",113,2883,2700,0,1808,127,765,127,1808,27,1908,0,0,13,292,149,1359,37,18,20,20
13,Забайкальский край,"Чита, Центральная",114,3166,2900,0,1744,29,1127,29,1744,10,1763,0,0,6,284,135,1257,29,18,19,15
14,Забайкальский край,"Чита, Центральная",115,2622,2400,0,1467,90,843,90,1465,16,1539,0,0,14,194,121,1161,12,8,14,15
15,Забайкальский край,"Чита, Центральная",116,2627,2400,0,1450,127,823,127,1449,24,1552,0,0,14,239,110,1113,29,10,16,21
16,Забайкальский край,"Чита, Центральная",117,2890,2700,0,1833,21,846,21,1833,20,1834,0,0,7,270,152,1332,33,10,16,14
17,Забайкальский край,"Чита, Центральная",118,2865,2600,0,1669,63,868,63,1668,21,1710,0,0,10,231,140,1252,32,11,18,16
18,Забайкальский край,"Чита, Центральная",119,2447,2300,0,1473,52,775,52,1470,19,1503,0,0,11,206,110,1105,22,9,25,15
19,Забайкальский край,"Чита, Центральная",120,2392,2200,0,1480,38,682,38,1480,16,1502,0,0,6,202,111,1118,23,10,13,19
20,Забайкальский край,"Чита, Центральная",121,2680,2500,0,1734,26,740,26,1734,20,1740,0,0,10,249,134,1284,30,8,14,11
21,Забайкальский край,"Чита, Центральная",122,1829,1600,0,1225,27,348,27,1225,14,1238,0,0,11,185,96,885,28,8,16,9
22,Забайкальский край,"Чита, Центральная",123,1703,1600,0,1084,23,493,23,1084,12,1095,0,0,8,150,95,795,27,6,4,10
23,Забайкальский край,"Чита, Центральная",124,1746,1600,0,1009,16,575,16,1009,8,1017,0,0,4,141,93,734,12,7,13,13
24,Забайкальский край,"Чита, Центральная",125,2197,2000,0,1444,38,518,38,1444,21,1461,0,0,13,212,81,1065,39,12,9,30
25,Забайкальский край,"Чита, Центральная",126,2827,2700,0,1743,42,915,42,1743,20,1765,0,0,13,254,121,1297,42,4,14,20
26,Забайкальский край,"Чита, Центральная",127,1766,1300,0,1059,112,129,112,1059,7,1164,0,0,7,188,76,849,22,4,8,10
27,Забайкальский край,"Чита, Центральная",128,2349,2300,0,1570,44,686,44,1570,18,1596,0,0,10,243,131,1156,22,8,14,12
28,Забайкальский край,"Чита, Центральная",129,1912,1500,0,978,366,156,366,978,18,1326,0,0,10,219,117,914,32,5,11,18
29,Забайкальский край,"Чита, Центральная",130,2802,2500,0,1887,29,584,29,1887,19,1897,0,0,5,343,130,1319,57,15,13,15
30,Забайкальский край,"Чита, Центральная",131,2633,2400,0,1546,234,620,234,1546,22,1758,0,0,4,255,152,1275,22,14,18,18
31,Забайкальский край,"Чита, Центральная",132,2265,1900,0,1483,26,391,26,1482,23,1485,0,0,6,238,98,1080,27,10,17,9
32,Забайкальский край,"Чита, Центральная",133,1955,1500,0,1161,32,307,32,1161,12,1181,0,0,6,164,93,866,21,5,8,18
33,Забайкальский край,"Чита, Центральная",134,2106,1600,0,1341,43,216,43,1341,12,1372,0,0,8,233,100,955,33,9,16,18
34,Забайкальский край,"Чита, Центральная",135,2338,2000,0,1359,37,604,37,1359,13,1383,0,0,15,219,92,967,36,17,20,17
35,Забайкальский край,"Чита, Центральная",136,1807,1400,0,998,49,353,49,996,8,1037,0,0,8,163,88,734,19,10,3,12
36,Забайкальский край,"Чита, Центральная",137,1758,1300,0,978,237,85,237,977,22,1192,0,0,12,138,81,927,11,8,7,8
37,Забайкальский край,"Чита, Центральная",138,3145,3000,0,2590,25,385,25,2590,33,2582,0,0,11,296,276,1896,49,8,28,18
38,Забайкальский край,"Чита, Центральная",139,476,450,0,346,1,103,1,346,4,343,0,0,3,50,27,243,8,5,1,6
39,Забайкальский край,"Чита, Центральная",140,798,750,0,636,0,114,0,636,2,634,0,0,2,70,28,510,17,0,2,5
40,Забайкальский край,"Чита, Центральная",141,320,500,0,307,0,193,0,307,5,302,0,0,2,55,34,204,5,1,1,0
41,Забайкальский край,"Чита, Ингодинская",201,2931,2600,0,2014,106,480,106,2014,13,2107,0,0,4,177,201,1628,51,15,13,18
42,Забайкальский край,"Чита, Ингодинская",202,3148,2700,0,2424,39,237,39,2424,22,2441,0,0,5,249,227,1835,76,6,23,20
43,Забайкальский край,"Чита, Ингодинская",203,1330,1100,0,811,14,275,14,811,6,819,0,0,6,120,102,569,6,9,4,3
44,Забайкальский край,"Чита, Ингодинская",204,2680,2500,0,1362,80,1058,80,1362,3,1439,0,0,9,230,171,984,23,7,8,7
45,Забайкальский край,"Чита, Ингодинская",205,1685,1600,0,714,33,853,33,714,9,738,0,0,4,115,104,499,6,5,2,3
46,Забайкальский край,"Чита, Ингодинская",206,2972,2800,0,1895,61,844,61,1895,15,1941,0,0,8,311,173,1378,24,18,14,15
47,Забайкальский край,"Чита, Ингодинская",207,2694,2600,0,1525,69,1006,69,1525,14,1580,0,0,18,198,170,1125,25,14,10,20
48,Забайкальский край,"Чита, Ингодинская",208,2304,2100,0,1329,48,723,48,1329,19,1358,0,0,7,210,135,951,18,14,13,10
49,Забайкальский край,"Чита, Ингодинская",209,2013,1900,0,1358,18,524,18,1358,8,1368,0,0,6,221,97,992,16,9,10,17
50,Забайкальский край,"Чита, Ингодинская",210,1543,1300,0,868,14,418,14,868,10,872,0,0,6,120,79,642,8,5,5,7
51,Забайкальский край,"Чита, Ингодинская",211,1939,1700,0,1182,84,434,84,1180,17,1247,0,0,13,197,90,901,22,6,8,10
52,Забайкальский край,"Чита, Ингодинская",212,1710,1700,0,1105,249,346,249,1105,8,1346,0,0,14,196,89,1002,17,4,13,11
53,Забайкальский край,"Чита, Ингодинская",213,1924,1600,0,1186,119,295,119,1186,11,1294,0,0,9,143,104,986,18,11,12,11
54,Забайкальский край,"Чита, Ингодинская",214,1165,1000,0,640,15,345,15,640,3,652,0,0,3,104,68,457,7,5,4,4
55,Забайкальский край,"Чита, Ингодинская",215,2215,2000,0,1338,52,610,52,1338,20,1370,0,0,18,237,104,949,26,7,12,17
56,Забайкальский край,"Чита, Ингодинская",216,2632,2500,0,1676,47,777,47,1676,12,1711,0,0,12,263,122,1236,30,6,15,27
57,Забайкальский край,"Чита, Ингодинская",217,2067,1900,0,1077,13,810,13,1077,16,1074,0,0,6,166,121,745,13,7,11,5
58,Забайкальский край,"Чита, Ингодинская",218,1763,1500,0,947,25,528,25,946,11,960,0,0,7,126,122,673,11,5,14,2
59,Забайкальский край,"Чита, Ингодинская",219,2263,2100,0,1201,41,858,41,1201,17,1225,0,0,2,185,146,847,24,7,8,6
60,Забайкальский край,"Чита, Ингодинская",220,2216,2000,0,1424,17,559,17,1424,15,1426,0,0,9,203,144,1012,21,12,17,8
61,Забайкальский край,"Чита, Ингодинская",221,2415,2200,0,1524,26,650,26,1524,15,1535,0,0,13,244,148,1058,23,14,18,17
62,Забайкальский край,"Чита, Ингодинская",222,2410,2200,0,1198,36,966,36,1198,11,1223,0,0,0,186,138,877,6,7,5,4
63,Забайкальский край,"Чита, Ингодинская",224,2970,2800,0,1630,41,1129,41,1630,17,1654,0,0,4,229,220,1164,19,5,6,7
64,Забайкальский край,"Чита, Ингодинская",225,399,350,0,214,14,122,14,214,2,226,0,0,2,19,23,175,2,1,3,1
65,Забайкальский край,"Чита, Ингодинская",226,678,680,0,677,0,3,0,677,45,632,0,0,9,38,197,337,41,4,3,3
66,Забайкальский край,"Чита, Ингодинская",227,334,250,0,208,0,42,0,208,4,204,0,0,3,45,15,134,4,1,2,0
67,Забайкальский край,"Чита, Железнодорожная",301,2438,2300,0,1270,26,1004,26,1270,12,1284,0,0,10,170,178,899,10,6,5,6
68,Забайкальский край,"Чита, Железнодорожная",302,2788,2650,0,1245,42,1363,42,1244,14,1272,0,0,7,166,141,914,16,8,8,12
69,Забайкальский край,"Чита, Железнодорожная",303,2656,2600,0,1564,34,1002,34,1564,26,1572,0,0,11,239,159,1100,26,16,11,10
70,Забайкальский край,"Чита, Железнодорожная",304,2860,2700,0,1548,55,1097,55,1548,20,1583,0,0,2,246,156,1132,21,8,6,12
71,Забайкальский край,"Чита, Железнодорожная",305,2503,2350,0,1403,47,900,47,1403,19,1431,0,0,12,184,155,1033,19,10,12,6
72,Забайкальский край,"Чита, Железнодорожная",306,2723,2450,0,1283,184,983,184,1283,23,1444,0,0,10,208,177,1012,13,9,9,6
73,Забайкальский край,"Чита, Железнодорожная",307,3014,2800,0,1707,38,1055,38,1707,18,1727,0,0,11,249,193,1209,21,18,12,14
74,Забайкальский край,"Чита, Железнодорожная",308,2099,1750,0,1199,30,521,30,1199,12,1217,0,0,9,171,122,877,15,10,3,10
75,Забайкальский край,"Чита, Железнодорожная",309,2163,2000,0,1042,47,911,47,1041,14,1074,0,0,12,147,130,762,6,9,3,5
76,Забайкальский край,"Чита, Железнодорожная",310,2631,2600,0,1371,50,1179,50,1371,25,1396,0,0,6,175,174,990,23,10,9,9
77,Забайкальский край,"Чита, Железнодорожная",311,2881,2850,0,1680,34,1136,34,1680,38,1676,0,0,14,255,172,1178,21,11,14,11
78,Забайкальский край,"Чита, Железнодорожная",312,3071,2900,0,1504,64,1332,64,1504,19,1549,0,0,10,234,153,1108,19,13,5,7
79,Забайкальский край,"Чита, Железнодорожная",313,2631,2500,0,1464,56,980,56,1464,23,1497,0,0,7,190,169,1077,19,17,8,10
80,Забайкальский край,"Чита, Железнодорожная",314,1837,1700,0,809,128,763,128,809,13,924,0,0,8,100,86,709,4,6,7,4
81,Забайкальский край,"Чита, Железнодорожная",315,2244,2150,0,1402,22,726,22,1402,17,1407,0,0,15,213,120,1021,13,4,13,8
82,Забайкальский край,"Чита, Черновская",401,2865,2700,0,1685,54,961,54,1631,15,1670,0,0,10,224,155,1239,17,12,6,7
83,Забайкальский край,"Чита, Черновская",402,2224,2300,0,1489,65,746,65,1489,18,1536,0,0,8,209,164,1118,14,10,7,6
84,Забайкальский край,"Чита, Черновская",403,2230,2200,0,1391,42,767,42,1391,18,1415,0,0,11,162,123,1077,16,7,8,11
85,Забайкальский край,"Чита, Черновская",404,2303,2300,0,1475,33,792,33,1475,21,1487,0,0,4,146,177,1135,8,5,7,5
86,Забайкальский край,"Чита, Черновская",405,2387,2300,0,1511,34,755,34,1511,23,1522,0,0,5,179,162,1139,15,10,6,6
87,Забайкальский край,"Чита, Черновская",406,2445,2400,0,1465,38,897,38,1465,9,1494,0,0,7,200,164,1090,13,7,6,7
88,Забайкальский край,"Чита, Черновская",407,2931,2800,0,1593,59,1148,59,1593,19,1633,0,0,8,231,191,1153,20,9,11,10
89,Забайкальский край,"Чита, Черновская",408,1242,1100,0,512,89,499,89,512,6,595,0,0,3,47,83,445,5,4,1,7
90,Забайкальский край,"Чита, Черновская",409,2017,2000,0,1186,33,781,33,1186,12,1207,0,0,8,149,128,891,10,4,4,13
91,Забайкальский край,"Чита, Черновская",410,2281,2200,0,1184,40,976,40,1184,10,1214,0,0,6,150,125,894,17,4,12,6
92,Забайкальский край,"Чита, Черновская",411,2261,2100,0,1171,180,749,179,1171,24,1326,0,0,11,169,135,961,16,14,11,9
93,Забайкальский край,"Чита, Черновская",412,2326,2300,0,1147,33,1120,33,1147,6,1174,0,0,10,157,106,876,4,8,7,6
94,Забайкальский край,"Чита, Черновская",413,2779,2800,0,1574,43,1183,43,1574,15,1602,0,0,7,208,167,1176,15,11,10,8
95,Забайкальский край,"Чита, Черновская",414,1738,1600,0,1024,23,553,23,1024,11,1036,0,0,8,153,112,731,14,8,3,7
96,Забайкальский край,"Чита, Черновская",415,2335,2400,0,1360,52,988,52,1360,12,1400,0,0,14,188,121,1015,23,13,10,16
97,Забайкальский край,"Чита, Черновская",416,2256,2200,0,1278,33,889,33,1278,15,1296,0,0,7,185,136,925,11,10,13,9
