,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Вологодская область,Бабаевская,1,1092,950,0,624,57,269,57,624,9,672,0,0,3,96,75,478,7,5,4,4
1,Вологодская область,Бабаевская,2,1114,1100,0,666,46,388,46,666,2,710,0,0,6,91,54,533,11,4,1,10
2,Вологодская область,Бабаевская,3,1067,1050,0,664,24,362,24,664,8,680,0,0,5,102,51,494,12,8,7,1
3,Вологодская область,Бабаевская,4,976,850,0,655,55,140,55,655,11,699,0,0,3,96,35,537,14,6,3,5
4,Вологодская область,Бабаевская,5,1019,950,0,685,42,223,42,685,16,711,0,0,3,90,47,543,9,6,7,6
5,Вологодская область,Бабаевская,6,1304,1250,0,756,40,454,40,756,7,789,0,0,4,104,66,596,11,4,3,1
6,Вологодская область,Бабаевская,7,1023,1000,0,525,36,439,36,525,6,555,0,0,3,78,58,402,7,4,2,1
7,Вологодская область,Бабаевская,8,1226,1200,0,685,73,442,73,685,3,755,0,0,6,89,57,588,9,3,1,2
8,Вологодская область,Бабаевская,9,1321,1300,0,744,69,487,69,744,8,805,0,0,4,95,70,606,11,4,6,9
9,Вологодская область,Бабаевская,10,166,170,0,59,64,47,64,59,0,123,0,0,0,0,5,118,0,0,0,0
10,Вологодская область,Бабаевская,11,1568,1550,0,741,131,678,131,741,5,867,0,0,6,125,72,637,7,14,3,3
11,Вологодская область,Бабаевская,12,369,350,0,134,78,138,78,134,2,210,0,0,0,17,22,162,4,2,2,1
12,Вологодская область,Бабаевская,13,335,300,0,171,85,44,85,171,1,255,0,0,0,26,17,204,4,3,1,0
13,Вологодская область,Бабаевская,14,62,80,0,38,8,34,8,38,0,46,0,0,0,2,3,41,0,0,0,0
14,Вологодская область,Бабаевская,15,215,220,0,107,57,56,57,107,1,163,0,0,1,9,19,133,0,0,0,1
15,Вологодская область,Бабаевская,16,175,190,0,69,49,72,49,69,0,118,0,0,0,4,15,97,0,1,0,1
16,Вологодская область,Бабаевская,17,415,400,0,194,82,124,82,194,6,270,0,0,0,20,29,213,3,1,2,2
17,Вологодская область,Бабаевская,18,311,300,0,206,12,82,12,206,1,217,0,0,0,20,21,171,3,0,2,0
18,Вологодская область,Бабаевская,19,109,110,0,65,15,30,15,65,0,80,0,0,0,1,15,61,3,0,0,0
19,Вологодская область,Бабаевская,20,302,300,0,174,51,75,51,174,4,221,0,0,2,12,10,192,4,1,0,0
20,Вологодская область,Бабаевская,21,450,450,0,208,72,170,72,208,1,279,0,0,3,33,19,219,2,2,0,1
21,Вологодская область,Бабаевская,23,199,240,0,131,12,97,12,131,1,142,0,0,2,5,7,127,1,0,0,0
22,Вологодская область,Бабаевская,24,610,600,0,311,125,164,125,311,3,433,0,0,1,24,35,364,5,2,1,1
23,Вологодская область,Бабаевская,25,173,180,0,70,70,40,70,70,1,139,0,0,1,6,9,119,2,0,0,2
24,Вологодская область,Бабаевская,26,381,400,0,236,76,88,76,236,1,311,0,0,1,22,33,249,4,2,0,0
25,Вологодская область,Бабаевская,27,158,135,0,89,25,21,25,89,0,114,0,0,1,8,6,96,0,2,0,1
26,Вологодская область,Бабаевская,28,208,170,0,104,39,27,39,104,1,142,0,0,0,6,9,121,1,1,4,0
27,Вологодская область,Бабаевская,29,506,500,0,242,74,184,74,242,6,310,0,0,7,39,30,229,2,1,0,2
28,Вологодская область,Бабаевская,30,413,400,0,226,73,101,73,226,1,298,0,0,3,31,27,232,5,0,0,0
29,Вологодская область,Бабаевская,31,116,110,0,33,34,43,34,33,0,67,0,0,0,1,13,51,0,0,0,2
30,Вологодская область,Бабаевская,32,161,160,0,70,25,65,25,70,0,95,0,0,6,6,6,75,0,1,0,1
31,Вологодская область,Бабушкинская,33,1881,1600,0,1044,96,460,96,1044,15,1125,0,0,6,183,95,820,11,4,4,2
32,Вологодская область,Бабушкинская,34,1393,1200,0,711,71,418,71,711,7,775,0,0,8,96,77,579,7,6,2,0
33,Вологодская область,Бабушкинская,35,392,350,0,195,45,110,45,195,3,237,0,0,1,15,30,187,3,0,1,0
34,Вологодская область,Бабушкинская,36,412,400,0,263,47,90,47,263,3,307,0,0,5,45,41,208,3,3,0,2
