,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Новгородская область,Батецкая,101,990,1010,0,498,142,370,142,498,10,630,0,0,5,66,82,449,12,4,5,7
1,Новгородская область,Батецкая,102,1074,1040,0,524,85,431,85,524,10,599,0,0,3,65,62,453,8,4,1,3
2,Новгородская область,Батецкая,103,477,430,0,197,88,145,88,197,1,284,0,0,2,22,23,227,6,3,1,0
3,Новгородская область,Батецкая,104,361,340,0,163,81,96,81,163,2,242,0,0,2,23,16,198,1,2,0,0
4,Новгородская область,Батецкая,105,296,270,0,177,17,76,17,177,3,191,0,0,0,16,18,152,3,0,2,0
5,Новгородская область,Батецкая,106,415,390,0,147,84,159,84,147,2,229,0,0,0,6,30,184,3,2,1,3
6,Новгородская область,Батецкая,107,197,180,0,94,51,35,51,94,1,144,0,0,4,4,13,118,2,2,1,0
7,Новгородская область,Батецкая,108,215,190,0,110,23,57,23,110,1,132,0,0,1,9,15,102,1,2,1,1
8,Новгородская область,Батецкая,109,511,510,0,192,87,231,87,192,1,278,0,0,3,35,34,198,4,3,0,1
9,Новгородская область,Батецкая,110,206,180,0,85,44,51,44,85,0,129,0,0,0,5,11,113,0,0,0,0
10,Новгородская область,Боровичcкая,201,2133,2000,0,1217,31,752,31,1217,12,1236,0,0,12,216,86,859,17,11,15,20
11,Новгородская область,Боровичcкая,202,1217,1250,0,706,15,529,15,706,12,709,0,0,7,116,46,505,6,6,8,15
12,Новгородская область,Боровичcкая,203,1008,1000,0,589,11,400,11,589,5,595,0,0,3,102,34,432,5,3,4,12
13,Новгородская область,Боровичcкая,204,1063,1050,0,639,7,404,7,639,14,632,0,0,6,104,38,463,5,3,3,10
14,Новгородская область,Боровичcкая,205,1122,1100,0,605,8,487,8,605,6,607,0,0,9,99,45,424,10,5,7,8
15,Новгородская область,Боровичcкая,206,1731,1700,0,941,37,722,37,941,8,970,0,0,4,161,64,699,14,6,9,13
16,Новгородская область,Боровичcкая,207,1279,1250,0,605,16,629,16,605,6,615,0,0,8,93,60,434,3,8,7,2
17,Новгородская область,Боровичcкая,208,1334,1300,0,785,11,504,11,785,5,791,0,0,3,140,51,565,10,4,9,9
18,Новгородская область,Боровичcкая,209,1322,1300,0,789,15,496,15,789,11,793,0,0,10,148,44,552,9,7,3,20
19,Новгородская область,Боровичcкая,210,1226,1200,0,579,9,612,9,579,2,586,0,0,5,125,47,380,9,2,6,12
20,Новгородская область,Боровичcкая,211,863,850,0,382,24,444,24,382,3,403,0,0,2,70,34,287,4,4,0,2
21,Новгородская область,Боровичcкая,212,1081,1100,0,574,15,511,15,573,7,581,0,0,5,120,40,387,10,5,4,10
22,Новгородская область,Боровичcкая,213,806,800,0,374,7,419,7,374,5,376,0,0,2,79,26,255,7,2,3,2
23,Новгородская область,Боровичcкая,214,1433,1400,0,721,25,654,25,721,2,744,0,0,2,143,54,528,5,4,1,7
24,Новгородская область,Боровичcкая,215,1014,1000,0,521,17,462,17,521,4,534,0,0,4,90,51,366,7,5,5,6
25,Новгородская область,Боровичcкая,216,1904,1900,0,1019,29,852,29,1019,13,1035,0,0,8,185,67,736,9,8,9,13
26,Новгородская область,Боровичcкая,217,1769,1800,0,812,26,962,26,809,11,824,0,0,6,141,87,559,9,8,5,9
27,Новгородская область,Боровичcкая,218,681,650,0,337,9,304,9,337,3,343,0,0,1,54,35,234,10,3,2,4
28,Новгородская область,Боровичcкая,219,842,850,0,424,23,403,23,424,5,442,0,0,2,71,24,323,2,2,7,11
29,Новгородская область,Боровичcкая,220,1300,1300,0,757,28,515,28,757,4,781,0,0,6,114,58,580,10,2,2,9
