,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Курская область,Беловская,269,2275,2120,0,1369,127,624,127,1369,12,1484,0,0,7,190,80,1182,10,9,2,4
1,Курская область,Беловская,270,311,280,0,197,24,59,24,197,2,219,0,0,1,21,16,176,0,3,2,0
2,Курская область,Беловская,271,267,260,0,175,39,46,39,175,1,213,0,0,3,20,11,177,0,1,1,0
3,Курская область,Беловская,272,891,880,0,531,95,254,95,531,11,615,0,0,2,44,29,535,2,1,1,1
4,Курская область,Беловская,273,104,90,0,66,13,11,13,66,1,78,0,0,0,7,7,63,1,0,0,0
5,Курская область,Беловская,274,532,500,0,322,78,100,78,322,0,400,0,0,3,26,9,356,3,2,1,0
6,Курская область,Беловская,275,230,220,0,103,65,52,65,103,1,167,0,0,1,3,9,148,3,3,0,0
7,Курская область,Беловская,276,642,600,0,434,60,106,60,434,2,492,0,0,0,23,31,432,4,2,0,0
8,Курская область,Беловская,277,1408,1330,0,865,48,417,48,865,7,906,0,0,1,69,53,764,7,10,2,0
9,Курская область,Беловская,278,362,350,0,219,14,117,14,219,0,233,0,0,1,10,3,219,0,0,0,0
10,Курская область,Беловская,279,155,140,0,91,9,40,9,91,2,98,0,0,0,3,7,87,1,0,0,0
11,Курская область,Беловская,280,608,580,0,391,38,151,38,391,8,421,0,0,3,39,26,345,1,4,2,1
12,Курская область,Беловская,281,242,230,0,120,38,72,38,120,0,158,0,0,1,10,5,142,0,0,0,0
13,Курская область,Беловская,282,431,420,0,316,44,60,44,316,1,359,0,0,2,11,11,332,2,1,0,0
14,Курская область,Беловская,283,543,520,0,373,67,80,67,373,1,439,0,0,2,21,11,404,1,0,0,0
15,Курская область,Беловская,284,1116,1050,0,643,79,328,79,643,4,718,0,0,2,77,42,590,1,4,1,1
16,Курская область,Беловская,285,103,100,0,58,14,28,14,58,0,72,0,0,1,2,2,66,0,0,1,0
17,Курская область,Беловская,286,396,350,0,261,34,55,34,261,6,289,0,0,2,9,21,256,0,1,0,0
18,Курская область,Беловская,287,125,120,0,78,8,34,8,78,0,86,0,0,1,3,5,75,0,2,0,0
19,Курская область,Беловская,288,194,250,0,156,38,56,38,156,5,189,0,0,4,4,12,166,1,1,0,1
20,Курская область,Беловская,289,187,160,0,125,8,27,8,125,1,132,0,0,0,14,13,101,3,1,0,0
21,Курская область,Беловская,290,269,260,0,190,38,32,38,190,3,225,0,0,1,14,15,192,1,1,0,1
22,Курская область,Беловская,291,293,280,0,166,47,67,47,166,0,213,0,0,1,12,17,183,0,0,0,0
23,Курская область,Беловская,292,146,120,0,93,24,3,24,93,0,117,0,0,1,1,4,111,0,0,0,0
24,Курская область,Беловская,293,665,650,0,411,99,140,99,411,9,501,0,0,1,61,17,419,1,1,1,0
