,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Республика Хакасия,Абаканская городская,1,1309,1300,0,864,13,423,13,864,14,863,0,0,11,139,52,598,27,11,13,12
1,Республика Хакасия,Абаканская городская,2,1033,1000,0,795,16,189,16,795,9,802,0,0,2,137,48,571,22,7,6,9
2,Республика Хакасия,Абаканская городская,3,1480,1900,0,1450,29,421,29,1450,14,1465,0,0,11,256,60,1042,40,8,27,21
3,Республика Хакасия,Абаканская городская,4,1660,1600,0,1111,6,483,6,1111,9,1108,0,0,5,223,65,758,27,5,13,12
4,Республика Хакасия,Абаканская городская,5,1388,1400,0,867,30,503,30,850,9,871,0,0,10,146,52,611,14,12,18,8
5,Республика Хакасия,Абаканская городская,6,1252,1200,0,894,31,275,31,894,11,914,0,0,5,199,55,597,21,12,7,18
6,Республика Хакасия,Абаканская городская,7,1504,1400,0,1006,28,366,28,1006,12,1022,0,0,7,214,53,676,25,7,18,22
7,Республика Хакасия,Абаканская городская,8,1470,1300,0,883,27,390,27,883,26,884,0,0,10,152,44,620,24,12,11,11
8,Республика Хакасия,Абаканская городская,9,1652,1600,0,944,43,613,43,944,14,973,0,0,8,185,70,663,25,5,10,7
9,Республика Хакасия,Абаканская городская,10,1464,1500,0,902,37,561,37,900,8,929,0,0,16,176,48,649,15,6,10,9
10,Республика Хакасия,Абаканская городская,11,2133,2000,0,1217,50,733,38,1217,13,1242,0,0,13,236,86,852,25,7,14,9
11,Республика Хакасия,Абаканская городская,12,1951,1900,0,1203,31,666,31,1203,15,1219,0,0,10,236,75,833,28,15,11,11
12,Республика Хакасия,Абаканская городская,13,1777,1700,0,1037,28,635,28,1037,12,1053,0,0,14,194,80,708,28,10,8,11
13,Республика Хакасия,Абаканская городская,14,1525,1500,0,938,27,535,27,938,14,951,0,0,8,191,73,643,14,5,9,8
14,Республика Хакасия,Абаканская городская,15,1755,1700,0,903,40,757,40,902,7,935,0,0,10,153,51,688,14,5,3,11
15,Республика Хакасия,Абаканская городская,16,1635,1500,0,707,21,772,21,707,8,720,0,0,8,113,60,523,6,5,3,2
16,Республика Хакасия,Абаканская городская,17,1785,1600,0,1115,17,468,17,1115,14,1118,0,0,5,208,60,760,39,7,17,22
17,Республика Хакасия,Абаканская городская,18,1959,1900,0,1213,26,661,26,1213,21,1218,0,0,9,226,92,837,19,7,17,11
18,Республика Хакасия,Абаканская городская,19,2300,2100,0,1442,29,629,29,1442,16,1455,0,0,8,299,96,980,25,9,22,16
19,Республика Хакасия,Абаканская городская,20,1969,1900,0,1213,26,661,26,1213,18,1221,0,0,13,256,91,811,20,16,3,11
20,Республика Хакасия,Абаканская городская,21,1234,1100,0,634,12,454,12,634,4,642,0,0,2,116,55,443,12,6,8,0
21,Республика Хакасия,Абаканская городская,22,2419,2500,0,2158,10,332,10,2158,22,2146,0,0,12,315,158,1563,57,12,13,16
22,Республика Хакасия,Абаканская городская,23,1630,1600,0,820,57,723,57,820,13,864,0,0,6,184,75,560,16,6,12,5
23,Республика Хакасия,Абаканская городская,24,1993,1900,0,965,49,886,49,965,14,1000,0,0,18,181,73,689,12,13,9,5
24,Республика Хакасия,Абаканская городская,25,1501,1400,0,820,27,553,27,820,10,837,0,0,5,153,92,555,8,11,5,8
25,Республика Хакасия,Абаканская городская,26,1473,1400,0,710,24,666,24,710,6,728,0,0,5,123,60,521,8,3,3,5
26,Республика Хакасия,Абаканская городская,27,1521,1400,0,683,35,682,35,683,12,706,0,0,5,141,55,488,5,4,4,4
27,Республика Хакасия,Абаканская городская,28,1767,1700,0,819,40,841,40,819,7,852,0,0,7,158,76,570,19,9,6,7
28,Республика Хакасия,Абаканская городская,29,1498,1400,0,728,26,646,26,726,9,743,0,0,5,140,64,507,12,8,2,5
29,Республика Хакасия,Абаканская городская,30,1501,1500,0,807,37,656,37,807,10,834,0,0,3,152,58,575,17,12,8,9
30,Республика Хакасия,Абаканская городская,31,1338,1300,0,589,14,697,14,589,14,589,0,0,5,103,43,405,16,10,4,3
31,Республика Хакасия,Абаканская городская,32,1358,1300,0,816,16,468,16,816,14,818,0,0,2,181,47,554,17,6,6,5
32,Республика Хакасия,Абаканская городская,33,1459,1200,0,824,222,154,222,824,10,1036,0,0,10,193,47,727,27,11,12,9
33,Республика Хакасия,Абаканская городская,34,2098,2000,0,1052,30,918,30,1052,21,1061,0,0,7,177,87,735,21,11,12,11
34,Республика Хакасия,Абаканская городская,35,1878,1800,0,965,14,821,14,965,5,974,0,0,9,210,61,643,14,8,16,13
35,Республика Хакасия,Абаканская городская,36,1466,1300,0,779,15,506,15,779,7,787,0,0,3,164,56,534,15,2,4,9
