,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Орловская область,Болховская,187,642,634,0,307,144,183,144,307,4,447,0,0,4,55,33,348,4,1,2,0
1,Орловская область,Болховская,188,342,341,0,248,62,31,62,248,0,310,0,0,1,13,9,285,2,0,0,0
2,Орловская область,Болховская,189,160,161,0,89,43,29,43,89,1,131,0,0,1,25,7,96,0,2,0,0
3,Орловская область,Болховская,190,100,103,0,74,21,8,21,74,0,95,0,0,0,7,6,81,0,0,1,0
4,Орловская область,Болховская,191,257,263,0,209,31,23,31,209,1,239,0,0,1,6,5,225,1,0,0,1
5,Орловская область,Болховская,192,204,207,0,176,21,10,21,176,0,197,0,0,0,17,12,163,1,4,0,0
6,Орловская область,Болховская,193,482,474,0,257,98,119,98,257,1,354,0,0,7,43,22,276,3,2,0,1
7,Орловская область,Болховская,194,149,150,0,73,35,42,35,73,1,107,0,0,2,9,4,89,0,3,0,0
8,Орловская область,Болховская,195,197,200,0,137,22,41,22,137,0,159,0,0,0,15,5,139,0,0,0,0
9,Орловская область,Болховская,196,193,197,0,120,37,40,37,120,2,155,0,0,0,7,10,129,5,3,0,1
10,Орловская область,Болховская,197,208,210,0,118,49,43,49,118,18,149,0,0,1,13,8,126,0,0,0,1
11,Орловская область,Болховская,198,445,447,0,330,99,18,99,330,0,429,0,0,5,34,16,365,2,6,1,0
12,Орловская область,Болховская,199,446,445,0,286,138,21,138,286,0,424,0,0,0,19,10,388,4,0,2,1
13,Орловская область,Болховская,200,469,475,0,266,150,59,150,266,2,414,0,0,2,33,8,368,1,1,1,0
14,Орловская область,Болховская,201,146,147,0,93,32,22,32,93,1,124,0,0,0,23,7,94,0,0,0,0
15,Орловская область,Болховская,202,292,290,0,171,67,52,67,171,0,238,0,0,0,24,11,197,2,3,0,1
16,Орловская область,Болховская,203,143,147,0,98,17,32,17,98,0,115,0,0,1,11,8,95,0,0,0,0
17,Орловская область,Болховская,204,306,305,0,150,89,66,89,150,4,235,0,0,1,42,10,176,1,4,0,1
18,Орловская область,Болховская,205,2333,2320,0,1479,146,695,146,1479,32,1593,0,0,9,149,92,1311,15,6,7,4
19,Орловская область,Болховская,206,2520,2490,0,1826,285,379,285,1826,16,2095,0,0,11,236,77,1731,13,15,9,3
20,Орловская область,Болховская,207,2075,2015,0,1188,171,656,171,1187,12,1346,0,0,8,200,69,1049,9,3,3,5
21,Орловская область,Болховская,208,2666,2635,0,1596,133,906,133,1595,22,1706,0,0,12,269,110,1261,19,19,9,7
22,Орловская область,Верховская,209,1992,1800,0,1346,51,403,51,1346,12,1385,0,0,6,182,112,1062,7,7,6,3
23,Орловская область,Верховская,210,2596,2500,0,1486,75,939,75,1486,26,1535,0,0,8,244,115,1136,8,13,7,4
24,Орловская область,Верховская,211,2096,2000,0,1519,53,428,53,1519,5,1567,0,0,9,279,158,1070,20,11,10,10
25,Орловская область,Верховская,212,440,450,0,340,24,86,24,340,9,355,0,0,2,26,18,298,1,7,0,3
26,Орловская область,Верховская,213,146,145,0,87,16,42,16,87,5,98,0,0,0,16,13,69,0,0,0,0
27,Орловская область,Верховская,214,107,100,0,58,11,31,11,58,0,69,0,0,0,15,1,52,0,0,1,0
28,Орловская область,Верховская,215,107,95,0,55,27,13,27,55,0,82,0,0,0,14,1,67,0,0,0,0
29,Орловская область,Верховская,216,837,850,0,463,135,252,135,463,5,593,0,0,3,51,46,487,2,3,1,0
30,Орловская область,Верховская,217,891,900,0,573,55,272,55,573,5,623,0,0,1,81,57,471,1,7,5,0
31,Орловская область,Верховская,218,212,200,0,117,12,71,12,117,0,129,0,0,3,15,11,97,1,2,0,0
