,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Томская область,Александровская,368,115,100,0,68,10,22,10,68,0,78,0,0,0,0,8,70,0,0,0,0
1,Томская область,Александровская,369,228,250,41,114,2,93,43,114,0,157,0,0,0,13,11,128,0,4,1,0
2,Томская область,Александровская,370,173,150,0,115,6,29,6,115,0,121,0,0,1,2,6,110,0,2,0,0
3,Томская область,Александровская,371,303,250,0,168,12,70,12,168,2,178,0,0,2,6,15,152,0,0,0,3
4,Томская область,Александровская,372,292,250,0,140,6,104,6,140,3,143,0,0,1,9,10,121,1,1,0,0
5,Томская область,Александровская,373,913,850,0,469,28,353,28,469,8,489,0,0,4,65,31,379,0,3,5,2
6,Томская область,Александровская,374,907,850,0,519,7,324,7,519,8,518,0,0,2,82,25,404,2,0,2,1
7,Томская область,Александровская,375,1004,850,56,574,15,205,71,574,7,638,0,0,8,109,45,458,10,3,3,2
8,Томская область,Александровская,376,947,850,0,566,9,275,9,566,11,564,0,0,2,112,29,408,4,1,4,4
9,Томская область,Александровская,377,80,70,0,48,2,20,2,48,1,49,0,0,2,1,8,37,0,1,0,0
10,Томская область,Александровская,378,909,850,0,543,17,290,17,543,7,553,0,0,0,88,36,419,3,2,1,4
11,Томская область,Александровская,379,914,850,0,536,25,289,25,536,2,559,0,0,6,97,39,400,4,7,2,4
12,Томская область,Асиновская,256,288,250,0,129,28,93,28,129,1,156,0,0,1,16,14,123,0,0,2,0
13,Томская область,Асиновская,257,2004,1900,0,1084,140,676,140,1084,15,1209,0,0,10,174,108,894,3,7,2,11
14,Томская область,Асиновская,258,1717,1700,0,952,38,710,38,952,13,977,0,0,5,156,60,730,13,6,1,6
15,Томская область,Асиновская,259,1421,1400,0,799,60,541,60,799,15,844,0,0,4,130,55,637,7,5,2,4
16,Томская область,Асиновская,260,343,270,0,239,13,18,13,239,0,252,0,0,0,26,19,199,2,0,2,4
17,Томская область,Асиновская,261,704,700,0,409,21,270,21,409,6,424,0,0,2,73,33,312,3,0,0,1
18,Томская область,Асиновская,262,691,700,0,369,31,300,31,369,2,398,0,0,0,58,28,301,3,3,2,3
19,Томская область,Асиновская,263,1511,1500,0,835,35,630,35,834,13,856,0,0,6,140,77,610,8,9,3,3
20,Томская область,Асиновская,264,621,600,0,228,67,305,67,228,5,290,0,0,1,49,27,207,3,3,0,0
21,Томская область,Асиновская,265,1103,1100,0,486,42,572,42,486,6,522,0,0,3,92,36,384,5,2,0,0
22,Томская область,Асиновская,266,1321,1300,0,817,55,428,55,817,12,860,0,0,3,111,59,659,10,6,6,6
23,Томская область,Асиновская,267,1376,1300,0,651,65,584,65,651,7,709,0,0,2,101,49,533,9,7,3,5
24,Томская область,Асиновская,268,1320,1300,0,617,63,620,63,616,4,675,0,0,2,90,59,511,2,3,7,1
25,Томская область,Асиновская,269,1878,1900,0,877,49,974,49,877,11,915,0,0,10,119,94,674,5,9,3,1
26,Томская область,Асиновская,270,1435,1400,0,719,64,617,64,719,10,773,0,0,3,87,94,570,6,6,5,2
27,Томская область,Асиновская,271,649,650,0,227,75,348,75,227,4,298,0,0,2,43,22,223,3,3,2,0
28,Томская область,Асиновская,272,613,600,0,312,21,267,21,312,6,327,0,0,0,36,35,248,1,6,1,0
29,Томская область,Асиновская,273,656,650,0,238,32,380,32,238,0,270,0,0,1,44,20,199,2,2,2,0
30,Томская область,Асиновская,274,87,80,0,50,5,25,5,50,0,55,0,0,0,9,4,41,1,0,0,0
31,Томская область,Асиновская,275,548,550,0,284,42,224,42,284,5,321,0,0,1,27,38,247,3,2,1,2
32,Томская область,Асиновская,276,619,600,0,313,26,261,26,313,3,336,0,0,5,53,43,227,2,4,0,2
33,Томская область,Асиновская,277,116,100,0,75,6,19,6,75,0,81,0,0,0,2,2,76,0,1,0,0
34,Томская область,Асиновская,278,69,70,0,42,7,21,7,42,0,49,0,0,2,11,6,30,0,0,0,0
35,Томская область,Асиновская,279,106,100,0,52,23,25,23,52,0,75,0,0,0,0,10,65,0,0,0,0
36,Томская область,Асиновская,280,533,550,0,273,23,254,23,273,1,295,0,0,1,31,20,237,1,3,1,1
37,Томская область,Асиновская,281,197,200,0,101,3,96,3,101,1,103,0,0,1,16,23,63,0,0,0,0
38,Томская область,Асиновская,282,267,250,0,161,11,78,11,161,0,172,0,0,0,10,20,134,5,3,0,0
39,Томская область,Асиновская,283,806,800,0,351,106,343,106,351,2,455,0,0,8,69,32,334,4,4,1,3
40,Томская область,Асиновская,284,325,300,0,190,27,83,27,190,1,216,0,0,0,20,33,156,2,2,1,2
41,Томская область,Асиновская,285,860,850,0,512,43,295,43,512,5,550,0,0,3,64,50,420,10,1,2,0
