,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Республика Алтай,Горно-Алтайская городская,1,2120,2000,0,1299,35,666,35,1299,18,1316,0,0,8,353,72,848,13,8,4,10
1,Республика Алтай,Горно-Алтайская городская,2,2181,2000,0,1421,33,546,33,1421,13,1441,0,0,3,341,74,995,14,7,2,5
2,Республика Алтай,Горно-Алтайская городская,3,1748,1700,0,1081,30,589,30,1081,9,1102,0,0,4,257,69,733,14,3,11,11
3,Республика Алтай,Горно-Алтайская городская,4,2952,2800,0,1618,124,1058,124,1618,15,1727,0,0,7,469,102,1098,18,7,9,17
4,Республика Алтай,Горно-Алтайская городская,5,2470,2200,0,1564,15,621,15,1564,10,1569,0,0,11,356,78,1083,18,9,3,11
5,Республика Алтай,Горно-Алтайская городская,6,2579,2600,0,1467,14,1119,14,1467,10,1471,0,0,8,390,70,965,14,6,9,9
6,Республика Алтай,Горно-Алтайская городская,7,2050,2000,0,1244,29,727,29,1244,10,1263,0,0,7,292,69,858,10,9,6,12
7,Республика Алтай,Горно-Алтайская городская,8,2180,2000,0,1410,39,551,39,1410,16,1433,0,0,4,375,57,954,17,5,5,16
8,Республика Алтай,Горно-Алтайская городская,9,1372,1250,0,894,29,327,29,894,8,915,0,0,7,244,40,596,9,7,4,8
9,Республика Алтай,Горно-Алтайская городская,10,1571,1150,0,1015,20,115,20,1015,7,1028,0,0,7,259,46,684,21,4,2,5
10,Республика Алтай,Горно-Алтайская городская,11,1435,1200,0,907,96,197,96,907,6,997,0,0,3,194,48,710,18,3,7,14
11,Республика Алтай,Горно-Алтайская городская,12,2570,2400,0,1607,40,753,40,1607,13,1634,0,0,6,426,86,1062,25,5,4,20
12,Республика Алтай,Горно-Алтайская городская,13,1554,1350,0,1024,34,292,34,1024,8,1050,0,0,7,292,36,670,17,4,7,17
13,Республика Алтай,Горно-Алтайская городская,14,2464,2500,0,1405,32,1063,32,1405,15,1422,0,0,8,365,94,897,21,15,9,13
14,Республика Алтай,Горно-Алтайская городская,15,1974,1800,0,1235,33,532,33,1235,10,1258,0,0,11,338,60,819,15,7,4,4
15,Республика Алтай,Горно-Алтайская городская,16,1062,1100,0,562,28,510,28,562,10,580,0,0,1,125,52,383,7,4,2,6
16,Республика Алтай,Горно-Алтайская городская,17,2348,2400,0,1258,33,1109,33,1258,12,1279,0,0,7,294,96,847,14,2,5,14
17,Республика Алтай,Горно-Алтайская городская,18,1457,1300,0,802,25,473,25,801,4,822,0,0,3,216,58,522,10,5,2,6
18,Республика Алтай,Горно-Алтайская городская,19,2063,2100,0,1110,31,959,31,1110,12,1129,0,0,7,252,83,754,9,5,5,14
19,Республика Алтай,Горно-Алтайская городская,20,2010,2000,0,1094,25,881,25,1094,16,1103,0,0,5,289,108,667,14,8,5,7
20,Республика Алтай,Горно-Алтайская городская,21,2013,2000,0,1237,44,719,44,1237,16,1265,0,0,10,329,100,798,11,3,9,5
21,Республика Алтай,Горно-Алтайская городская,22,1913,1900,0,1083,12,805,12,1083,10,1085,0,0,4,307,53,684,14,11,6,6
22,Республика Алтай,Горно-Алтайская городская,23,745,760,0,468,231,61,231,468,14,685,0,0,3,132,41,483,15,5,2,4
23,Республика Алтай,Кош-Агачская,24,373,380,8,228,7,137,15,228,3,240,0,0,0,64,7,163,2,3,1,0
24,Республика Алтай,Кош-Агачская,25,569,640,33,346,21,240,54,346,4,396,0,0,0,47,8,332,7,2,0,0
25,Республика Алтай,Кош-Агачская,26,312,350,38,221,5,86,43,221,3,261,0,0,1,13,10,226,9,0,2,0
26,Республика Алтай,Кош-Агачская,27,483,540,56,280,12,192,68,280,0,348,0,0,1,46,2,294,1,3,1,0
27,Республика Алтай,Кош-Агачская,28,659,700,93,360,17,230,110,360,5,465,0,0,3,83,6,366,5,1,0,1
28,Республика Алтай,Кош-Агачская,29,860,940,239,396,15,290,254,396,3,647,0,0,3,120,13,499,4,1,7,0
29,Республика Алтай,Кош-Агачская,30,1459,1600,0,864,32,704,32,864,5,891,0,0,1,172,18,689,7,0,1,3
30,Республика Алтай,Кош-Агачская,31,1407,1550,0,715,11,824,11,715,9,717,0,0,3,137,11,551,11,2,0,2
31,Республика Алтай,Кош-Агачская,32,683,650,0,426,23,201,23,426,4,445,0,0,0,94,7,338,4,0,2,0
32,Республика Алтай,Кош-Агачская,33,1688,1850,147,907,14,782,161,907,9,1059,0,0,3,210,32,797,7,1,3,6
33,Республика Алтай,Кош-Агачская,34,868,900,0,537,9,354,9,537,6,540,0,0,4,124,15,389,5,1,2,0
34,Республика Алтай,Кош-Агачская,35,516,550,41,383,20,106,61,383,4,440,0,0,2,46,5,379,6,2,0,0
35,Республика Алтай,Кош-Агачская,36,793,900,36,525,21,318,57,525,11,571,0,0,5,134,9,416,3,2,1,1
36,Республика Алтай,Кош-Агачская,37,863,850,31,492,40,287,71,492,1,562,0,0,3,72,3,480,3,0,0,1
37,Республика Алтай,Кош-Агачская,38,737,800,141,506,19,134,160,506,4,662,0,0,7,30,7,610,5,1,0,2
38,Республика Алтай,Кош-Агачская,39,258,290,0,197,10,83,10,197,0,207,0,0,0,25,7,173,1,0,1,0
39,Республика Алтай,Кош-Агачская,40,962,1000,133,592,35,240,168,592,12,748,0,0,3,37,5,688,10,2,1,2
40,Республика Алтай,Майминская,41,1163,1200,0,670,45,485,45,670,9,706,0,0,4,192,48,449,4,1,2,6
41,Республика Алтай,Майминская,42,964,900,0,633,7,260,7,633,9,631,0,0,1,131,43,433,7,1,8,7
42,Республика Алтай,Майминская,43,1189,1150,0,695,17,438,17,695,7,705,0,0,4,215,46,420,10,1,5,4
43,Республика Алтай,Майминская,44,983,1000,0,610,15,375,15,610,4,621,0,0,5,135,39,428,7,2,2,3
44,Республика Алтай,Майминская,45,996,1050,0,694,22,334,22,694,8,708,0,0,4,180,33,467,9,5,6,4
45,Республика Алтай,Майминская,46,836,800,0,546,37,217,37,546,11,572,0,0,0,148,36,379,3,3,1,2
46,Республика Алтай,Майминская,47,536,500,0,360,13,127,13,360,6,367,0,0,0,121,24,201,5,4,5,7
47,Республика Алтай,Майминская,48,872,900,0,588,16,296,16,588,1,603,0,0,9,151,26,403,2,4,4,4
48,Республика Алтай,Майминская,49,1128,1000,0,764,17,219,17,764,5,776,0,0,3,193,47,516,10,2,2,3
49,Республика Алтай,Майминская,50,630,590,0,421,16,153,16,421,4,433,0,0,3,103,34,283,1,4,3,2
50,Республика Алтай,Майминская,51,648,660,0,403,23,234,23,403,5,421,0,0,2,117,30,259,7,0,1,5
51,Республика Алтай,Майминская,52,366,350,0,227,10,113,10,227,4,233,0,0,1,76,16,137,0,2,1,0
52,Республика Алтай,Майминская,53,435,430,0,222,16,192,16,222,1,237,0,0,4,80,15,133,2,1,0,2
53,Республика Алтай,Майминская,54,1072,1100,0,575,25,500,25,575,6,594,0,0,2,152,46,381,4,5,1,3
54,Республика Алтай,Майминская,55,887,870,0,511,38,321,38,511,1,548,0,0,1,119,55,369,1,0,1,2
55,Республика Алтай,Майминская,56,614,600,0,338,15,247,15,338,3,350,0,0,1,86,33,224,3,0,2,1
