,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Калужская область,Бабынинская,101,327,330,0,81,145,104,145,81,1,225,0,0,3,25,15,175,6,1,0,0
1,Калужская область,Бабынинская,102,2218,2250,0,1430,149,671,149,1430,17,1562,0,0,11,157,127,1222,17,11,4,13
2,Калужская область,Бабынинская,103,929,900,0,567,123,210,123,567,13,677,0,0,9,52,61,544,4,3,2,2
3,Калужская область,Бабынинская,104,551,550,0,261,124,165,124,261,4,381,0,0,3,30,17,321,3,4,0,3
4,Калужская область,Бабынинская,105,188,190,0,117,26,47,26,117,1,142,0,0,0,10,10,119,2,1,0,0
5,Калужская область,Бабынинская,106,314,310,0,228,14,68,14,228,3,239,0,0,2,18,13,201,1,4,0,0
6,Калужская область,Бабынинская,107,570,570,0,415,100,55,100,415,3,512,0,0,0,18,30,458,2,0,2,2
7,Калужская область,Бабынинская,108,269,280,0,187,47,46,47,187,0,234,0,0,3,16,20,193,2,0,0,0
8,Калужская область,Бабынинская,109,325,340,0,118,69,153,69,118,2,185,0,0,2,6,17,158,0,0,0,2
9,Калужская область,Бабынинская,110,593,580,0,321,77,182,77,321,9,389,0,0,2,43,32,302,3,1,3,3
10,Калужская область,Бабынинская,111,157,160,0,84,17,59,17,84,0,101,0,0,1,13,4,79,3,0,1,0
11,Калужская область,Бабынинская,112,397,380,0,269,58,53,58,269,3,324,0,0,5,21,21,273,3,0,1,0
12,Калужская область,Бабынинская,113,183,170,0,112,13,45,13,112,1,124,0,0,0,10,28,85,0,1,0,0
13,Калужская область,Бабынинская,114,342,330,0,159,118,53,118,159,4,273,0,0,1,58,20,190,2,2,0,0
14,Калужская область,Бабынинская,115,329,310,0,206,61,43,61,206,2,265,0,0,1,29,10,219,1,0,4,1
15,Калужская область,Бабынинская,116,170,160,0,91,24,45,24,91,1,114,0,0,0,7,7,95,1,3,1,0
16,Калужская область,Бабынинская,117,244,230,0,136,46,48,46,136,1,181,0,0,0,16,13,152,0,0,0,0
17,Калужская область,Бабынинская,118,2481,2500,0,1532,63,905,63,1532,17,1578,0,0,6,136,117,1285,15,5,8,6
18,Калужская область,Бабынинская,119,1986,2000,0,1189,46,765,46,1189,10,1225,0,0,6,112,82,986,14,7,9,9
19,Калужская область,Бабынинская,120,2375,2450,0,1564,35,851,35,1564,18,1581,0,0,15,148,130,1238,19,11,12,8
20,Калужская область,Бабынинская,121,409,390,0,242,7,141,7,242,4,245,0,0,2,23,14,199,4,2,0,1
