,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Республика Ингушетия,Джейрахская,1,606,550,0,520,19,11,19,520,0,539,0,0,4,15,10,491,2,1,8,8
1,Республика Ингушетия,Джейрахская,2,623,577,0,562,6,9,6,562,0,568,0,0,3,14,9,522,2,2,8,8
2,Республика Ингушетия,Джейрахская,3,264,237,0,214,15,8,15,214,0,229,0,0,3,16,6,191,1,2,5,5
3,Республика Ингушетия,Джейрахская,4,114,103,0,100,0,3,0,100,0,100,0,0,2,6,0,78,14,0,0,0
4,Республика Ингушетия,Джейрахская,5,309,274,0,269,3,2,3,269,0,272,0,0,5,11,9,225,4,2,8,8
5,Республика Ингушетия,Джейрахская,6,854,787,544,235,4,4,548,235,12,771,0,0,1,165,39,555,5,1,1,4
6,Республика Ингушетия,Карабулакская городская,7,893,750,0,701,1,48,1,701,13,689,0,0,18,83,21,532,20,4,3,8
7,Республика Ингушетия,Карабулакская городская,8,1310,1250,0,1033,6,211,6,1033,12,1027,0,0,10,62,40,842,12,2,24,35
8,Республика Ингушетия,Карабулакская городская,9,1295,1100,0,782,151,167,151,782,8,925,0,0,7,58,36,758,11,2,22,31
9,Республика Ингушетия,Карабулакская городская,10,2270,2000,0,1796,2,202,2,1796,5,1793,0,0,14,101,30,1470,11,4,23,140
10,Республика Ингушетия,Карабулакская городская,11,2829,2500,0,2289,7,204,7,2289,22,2274,0,0,18,128,88,1868,27,4,54,87
11,Республика Ингушетия,Карабулакская городская,12,2406,2100,0,1931,1,168,1,1931,17,1915,0,0,16,99,75,1588,23,3,46,65
12,Республика Ингушетия,Карабулакская городская,13,1522,1400,0,1090,75,235,75,1090,14,1151,0,0,9,60,45,955,13,3,27,39
13,Республика Ингушетия,Карабулакская городская,14,2566,2300,0,1062,3,1235,3,1062,19,1046,0,0,9,225,0,691,71,2,3,45
14,Республика Ингушетия,Магасская городская,15,1175,1050,0,787,100,163,100,787,16,871,0,0,2,97,7,692,25,0,6,42
15,Республика Ингушетия,Магасская городская,16,865,799,0,349,102,348,102,349,0,451,0,0,5,59,4,323,32,3,5,20
16,Республика Ингушетия,Магасская городская,17,458,458,0,311,125,22,125,311,0,436,0,0,16,86,17,286,17,2,6,6
17,Республика Ингушетия,Магасская городская,18,1555,1555,0,1253,0,302,0,1253,0,1253,0,0,99,176,45,858,42,15,13,5
18,Республика Ингушетия,Малгобекская городская,19,702,700,0,516,0,184,0,516,3,513,0,0,2,25,1,461,7,0,1,16
19,Республика Ингушетия,Малгобекская городская,20,1909,1800,0,1561,0,239,0,1561,1,1560,0,0,15,93,81,1268,16,7,25,55
20,Республика Ингушетия,Малгобекская городская,21,1546,1500,0,1258,2,240,2,1258,2,1258,0,0,12,78,65,1021,25,5,20,32
21,Республика Ингушетия,Малгобекская городская,22,1279,1250,0,1019,8,223,8,1019,2,1025,0,0,7,61,51,851,7,3,15,30
22,Республика Ингушетия,Малгобекская городская,23,1678,1600,0,1365,2,233,2,1365,2,1365,0,0,14,82,70,1107,15,6,22,49
23,Республика Ингушетия,Малгобекская городская,24,1440,1400,0,1155,0,245,0,1155,1,1154,0,0,9,68,58,945,10,3,23,38
24,Республика Ингушетия,Малгобекская городская,25,1797,1700,0,1437,6,257,6,1437,2,1441,0,0,11,85,73,1183,13,8,21,47
25,Республика Ингушетия,Малгобекская городская,26,1818,1750,0,1459,0,291,0,1459,1,1458,0,0,11,85,74,1192,22,4,22,48
26,Республика Ингушетия,Малгобекская городская,27,1623,1550,0,1302,0,248,0,1302,2,1300,0,0,10,76,66,1071,11,4,19,43
27,Республика Ингушетия,Малгобекская городская,28,1393,1350,0,1103,15,232,15,1103,1,1117,0,0,9,69,70,904,10,3,16,36
28,Республика Ингушетия,Малгобекская городская,29,613,610,0,492,0,118,0,492,12,480,0,0,1,43,0,396,27,1,6,6
29,Республика Ингушетия,Малгобекская городская,30,365,360,0,292,0,68,0,292,0,292,0,0,1,16,13,245,3,1,4,9
30,Республика Ингушетия,Малгобекская городская,31,465,450,0,372,0,78,0,372,0,372,0,0,3,21,17,308,7,1,5,10
31,Республика Ингушетия,Малгобекская городская,32,797,790,0,640,0,150,0,640,1,639,0,0,5,38,32,526,6,2,10,20
32,Республика Ингушетия,Малгобекская городская,33,1745,1650,0,1342,50,258,50,1342,2,1390,0,0,11,82,71,1150,12,4,21,39
33,Республика Ингушетия,Малгобекская городская,34,558,555,0,449,0,106,0,449,1,448,0,0,3,26,23,369,4,2,7,14
34,Республика Ингушетия,Малгобекская городская,35,1038,1000,0,834,0,166,0,834,2,832,0,0,6,49,42,682,7,2,12,32
35,Республика Ингушетия,Малгобекская городская,36,1356,1300,0,1088,0,212,0,1088,1,1087,0,0,8,73,55,887,10,3,16,35
