,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Республика Марий Эл,Волжская городская,117,1703,1700,0,1028,27,645,27,1028,17,1038,0,0,1,179,52,772,12,11,5,6
1,Республика Марий Эл,Волжская городская,118,803,800,0,480,6,314,6,480,7,479,0,0,2,69,29,367,8,1,1,2
2,Республика Марий Эл,Волжская городская,119,2083,1950,0,1208,151,591,151,1208,18,1341,0,0,9,217,71,1005,16,8,5,10
3,Республика Марий Эл,Волжская городская,120,1042,1000,0,570,61,369,61,570,10,621,0,0,0,113,23,461,10,4,5,5
4,Республика Марий Эл,Волжская городская,121,1880,1900,0,1205,33,662,33,1205,11,1227,0,0,7,234,65,867,19,8,10,17
5,Республика Марий Эл,Волжская городская,122,950,900,0,627,24,249,24,627,2,649,0,0,4,115,36,468,9,5,4,8
6,Республика Марий Эл,Волжская городская,123,1126,1100,0,632,41,427,41,632,13,660,0,0,3,140,39,462,8,4,1,3
7,Республика Марий Эл,Волжская городская,124,917,900,0,566,34,300,34,566,4,596,0,0,2,102,34,441,6,5,0,6
8,Республика Марий Эл,Волжская городская,125,1937,1950,0,1128,61,761,61,1128,15,1174,0,0,9,208,60,860,16,11,2,8
9,Республика Марий Эл,Волжская городская,126,1925,1900,0,1288,20,592,20,1288,14,1294,0,0,12,225,81,929,22,5,7,13
10,Республика Марий Эл,Волжская городская,127,2003,2000,0,1147,78,775,78,1147,16,1209,0,0,6,221,71,885,7,6,5,8
11,Республика Марий Эл,Волжская городская,128,896,900,0,564,22,314,22,564,6,580,0,0,4,110,29,416,10,4,4,3
12,Республика Марий Эл,Волжская городская,129,1146,1100,0,792,14,294,14,792,13,793,0,0,8,156,48,563,10,5,3,0
13,Республика Марий Эл,Волжская городская,130,2012,2000,0,1245,23,732,23,1245,0,1268,0,0,5,185,71,976,11,6,6,8
14,Республика Марий Эл,Волжская городская,131,933,900,0,545,30,325,30,545,6,569,0,0,3,112,37,397,7,4,6,3
15,Республика Марий Эл,Волжская городская,132,955,900,0,614,22,264,22,614,7,629,0,0,5,140,33,420,16,4,5,6
16,Республика Марий Эл,Волжская городская,133,2075,2050,0,1252,43,755,43,1252,15,1280,0,0,2,193,77,970,15,2,7,14
17,Республика Марий Эл,Волжская городская,134,1198,1150,0,695,45,410,45,695,9,731,0,0,3,137,31,542,9,4,4,1
18,Республика Марий Эл,Волжская городская,135,1239,1200,0,803,12,385,12,803,10,805,0,0,3,159,41,579,14,4,2,3
19,Республика Марий Эл,Волжская городская,136,1812,1800,0,1179,38,583,38,1179,12,1205,0,0,10,200,68,890,9,5,9,14
20,Республика Марий Эл,Волжская городская,137,859,800,0,501,23,276,23,501,3,521,0,0,2,75,30,394,7,3,3,7
21,Республика Марий Эл,Волжская городская,138,2098,2100,0,1209,18,873,18,1209,18,1209,0,0,7,195,66,895,13,17,4,12
22,Республика Марий Эл,Волжская городская,139,918,900,0,532,59,309,59,532,3,588,0,0,3,117,26,421,10,3,2,6
23,Республика Марий Эл,Волжская городская,140,1978,1900,0,1347,55,498,55,1347,14,1388,0,0,6,262,74,987,23,17,9,10
24,Республика Марий Эл,Волжская городская,141,2140,2150,0,1360,49,741,49,1360,15,1394,0,0,2,252,82,1018,15,6,9,10
25,Республика Марий Эл,Волжская городская,142,2341,2350,0,1504,35,811,35,1504,19,1520,0,0,9,246,77,1151,14,8,8,7
26,Республика Марий Эл,Волжская городская,143,972,950,0,676,6,268,6,676,5,677,0,0,3,153,35,462,6,8,5,5
27,Республика Марий Эл,Волжская городская,144,1820,1800,0,1179,52,569,52,1179,13,1218,0,0,8,239,71,851,20,11,11,7
28,Республика Марий Эл,Волжская городская,145,671,600,0,340,34,226,34,340,3,371,0,0,2,74,22,251,10,2,5,5
29,Республика Марий Эл,Волжская городская,146,1563,1550,0,1002,26,522,26,1002,11,1017,0,0,5,156,69,756,17,4,2,8
30,Республика Марий Эл,Звениговская,226,544,540,0,308,20,212,20,308,2,326,0,0,2,60,28,226,3,2,4,1
31,Республика Марий Эл,Звениговская,227,725,700,0,462,25,213,25,462,10,477,0,0,2,74,26,367,3,1,2,2
32,Республика Марий Эл,Звениговская,228,588,600,0,359,20,221,20,359,3,376,0,0,6,84,30,246,5,2,2,1
33,Республика Марий Эл,Звениговская,229,660,690,0,405,19,266,19,405,6,418,0,0,1,64,30,311,6,2,2,2
34,Республика Марий Эл,Звениговская,230,900,900,0,543,16,341,16,543,0,559,0,0,4,97,30,411,6,8,3,0
