,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Тюменская область,Абатская,101,2011,2017,0,1737,70,210,70,1737,0,1807,0,0,7,43,57,1682,6,3,4,5
1,Тюменская область,Абатская,102,1968,1963,0,1590,103,270,103,1590,0,1693,0,0,4,46,68,1561,3,5,5,1
2,Тюменская область,Абатская,103,1401,1409,0,1204,84,121,84,1204,0,1288,0,0,3,33,47,1190,4,2,5,4
3,Тюменская область,Абатская,104,997,997,0,938,32,27,32,938,17,953,0,0,4,22,31,890,2,4,0,0
4,Тюменская область,Абатская,105,127,127,0,113,0,14,0,113,0,113,0,0,0,2,3,104,1,2,0,1
5,Тюменская область,Абатская,106,117,122,0,117,0,5,0,117,0,117,0,0,0,3,4,108,0,0,0,2
6,Тюменская область,Абатская,107,91,86,0,86,0,0,0,86,2,84,0,0,0,1,1,81,0,0,0,1
7,Тюменская область,Абатская,108,160,162,0,141,0,21,0,141,0,141,0,0,0,6,1,134,0,0,0,0
8,Тюменская область,Абатская,109,517,520,0,450,45,25,45,450,0,495,0,0,1,6,14,471,1,1,0,1
9,Тюменская область,Абатская,110,90,88,0,81,7,0,7,81,0,88,0,0,1,2,3,81,1,0,0,0
10,Тюменская область,Абатская,111,143,143,0,125,15,3,15,125,1,139,0,0,0,3,5,129,1,1,0,0
11,Тюменская область,Абатская,112,397,396,0,306,44,46,44,306,0,350,0,0,1,11,30,306,1,0,0,1
12,Тюменская область,Абатская,113,88,87,0,71,13,3,13,71,0,84,0,0,0,2,5,76,0,0,1,0
13,Тюменская область,Абатская,114,93,93,0,68,4,21,4,68,0,72,0,0,0,2,15,55,0,0,0,0
14,Тюменская область,Абатская,115,507,506,0,472,29,5,29,472,0,501,0,0,2,7,15,475,2,0,0,0
15,Тюменская область,Абатская,116,123,122,0,117,5,0,5,117,0,122,0,0,0,3,3,116,0,0,0,0
16,Тюменская область,Абатская,117,126,124,0,119,5,0,5,119,0,124,0,0,0,2,6,113,1,2,0,0
17,Тюменская область,Абатская,118,91,88,0,83,5,0,5,83,0,88,0,0,0,4,0,84,0,0,0,0
18,Тюменская область,Абатская,119,100,97,0,86,7,4,7,86,3,90,0,0,0,9,5,76,0,0,0,0
19,Тюменская область,Абатская,120,598,603,0,541,40,22,40,541,0,581,0,0,2,15,22,535,3,1,2,1
20,Тюменская область,Абатская,121,79,79,0,70,3,6,3,70,0,73,0,0,1,5,1,66,0,0,0,0
21,Тюменская область,Абатская,122,66,67,0,66,0,1,0,66,0,66,0,0,0,2,4,60,0,0,0,0
22,Тюменская область,Абатская,123,670,661,0,561,72,28,72,561,0,633,0,0,1,14,17,594,2,3,1,1
23,Тюменская область,Абатская,124,83,94,0,76,7,11,7,76,0,83,0,0,0,2,3,75,2,0,0,1
24,Тюменская область,Абатская,125,205,206,0,162,21,23,21,162,2,181,0,0,1,6,7,163,1,1,0,2
25,Тюменская область,Абатская,126,180,176,0,154,12,10,12,154,0,166,0,0,1,8,9,146,1,1,0,0
26,Тюменская область,Абатская,127,80,80,0,56,20,4,20,56,0,76,0,0,1,12,9,51,1,0,2,0
27,Тюменская область,Абатская,128,573,569,0,552,12,5,12,552,0,564,0,0,2,7,9,538,2,2,4,0
28,Тюменская область,Абатская,129,568,575,0,467,34,74,34,467,1,500,0,0,0,11,13,475,1,0,0,0
29,Тюменская область,Абатская,130,84,82,0,77,5,0,5,77,0,82,0,0,0,2,4,72,1,2,1,0
30,Тюменская область,Абатская,131,108,108,0,100,4,4,4,100,0,104,0,0,0,1,5,97,1,0,0,0
31,Тюменская область,Абатская,132,114,115,0,106,3,6,3,106,0,109,0,0,0,2,5,101,1,0,0,0
32,Тюменская область,Абатская,133,96,96,0,89,6,1,6,89,0,95,0,0,0,35,8,52,0,0,0,0
33,Тюменская область,Абатская,134,273,272,0,237,20,15,20,237,2,255,0,0,0,2,5,248,0,0,0,0
34,Тюменская область,Абатская,135,102,102,0,101,0,1,0,101,0,101,0,0,1,2,2,96,0,0,0,0
35,Тюменская область,Абатская,136,399,398,0,370,9,19,9,370,0,379,0,0,0,2,9,368,0,0,0,0
36,Тюменская область,Абатская,137,119,118,0,112,0,6,0,112,0,112,0,0,0,10,3,99,0,0,0,0
37,Тюменская область,Абатская,138,165,165,0,155,10,0,10,155,0,165,0,0,2,2,9,150,0,0,0,2
38,Тюменская область,Абатская,139,241,241,0,241,0,0,0,241,3,238,0,0,1,2,7,226,1,0,1,0
39,Тюменская область,Абатская,140,387,454,0,362,25,67,25,362,0,387,0,0,2,13,15,354,1,2,0,0
40,Тюменская область,Абатская,141,64,67,0,64,0,3,0,64,0,64,0,0,0,2,4,57,0,0,0,1
41,Тюменская область,Абатская,142,102,103,0,93,2,8,2,93,0,95,0,0,0,1,6,88,0,0,0,0
42,Тюменская область,Абатская,143,182,182,0,162,0,20,0,162,0,162,0,0,1,2,10,143,2,2,0,2
43,Тюменская область,Армизонская,201,1103,1100,0,672,60,368,60,672,1,731,0,0,6,102,52,554,6,6,2,3
44,Тюменская область,Армизонская,202,801,785,0,700,56,29,56,700,2,754,0,0,4,61,52,627,2,3,2,3
45,Тюменская область,Армизонская,203,794,785,0,682,29,74,29,682,3,708,0,0,1,20,17,660,4,4,2,0
46,Тюменская область,Армизонская,204,1071,1060,0,655,43,362,43,655,10,688,0,0,8,68,52,554,1,5,0,0
47,Тюменская область,Армизонская,205,118,115,0,92,8,15,8,92,0,100,0,0,0,8,9,82,0,0,1,0
48,Тюменская область,Армизонская,207,186,185,0,108,34,43,34,108,0,142,0,0,0,18,8,114,2,0,0,0
49,Тюменская область,Армизонская,208,75,78,0,61,6,11,6,61,1,66,0,0,2,2,6,54,1,0,1,0
50,Тюменская область,Армизонская,209,363,365,0,332,12,21,12,332,0,344,0,0,0,8,6,327,3,0,0,0
51,Тюменская область,Армизонская,210,65,67,0,57,4,6,4,57,0,61,0,0,0,2,4,53,0,1,0,1
52,Тюменская область,Армизонская,211,81,82,0,66,7,9,7,66,0,73,0,0,0,1,4,68,0,0,0,0
53,Тюменская область,Армизонская,212,428,429,0,371,24,34,24,371,3,392,0,0,2,19,21,349,0,1,0,0
54,Тюменская область,Армизонская,213,73,75,0,66,0,9,0,66,0,66,0,0,0,2,11,53,0,0,0,0
55,Тюменская область,Армизонская,214,201,200,0,171,8,21,8,171,0,179,0,0,0,12,6,161,0,0,0,0
56,Тюменская область,Армизонская,215,340,338,0,233,44,61,44,233,0,277,0,0,0,10,10,252,2,0,3,0
57,Тюменская область,Армизонская,216,52,53,0,50,0,3,0,50,0,50,0,0,0,4,4,42,0,0,0,0
58,Тюменская область,Армизонская,218,385,384,0,305,36,43,36,305,2,339,0,0,2,31,18,287,0,0,1,0
