,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Еврейская автономная область,Биробиджанская,99,268,271,0,158,12,101,12,158,1,169,0,0,0,31,16,116,4,0,0,2
1,Еврейская автономная область,Биробиджанская,100,373,374,0,218,11,145,11,218,3,226,0,0,2,47,10,161,2,0,3,1
2,Еврейская автономная область,Биробиджанская,101,1208,1010,0,721,22,267,22,721,16,727,0,0,2,143,74,497,4,2,1,4
3,Еврейская автономная область,Биробиджанская,102,928,850,0,491,17,342,17,491,8,500,0,0,6,107,57,320,4,4,0,2
4,Еврейская автономная область,Биробиджанская,103,247,231,0,157,20,54,20,157,2,175,0,0,0,38,14,118,1,1,1,2
5,Еврейская автономная область,Биробиджанская,104,224,243,0,136,6,101,6,136,4,138,0,0,0,30,10,95,1,0,0,2
6,Еврейская автономная область,Биробиджанская,105,208,239,0,88,4,147,4,88,6,86,0,0,0,16,9,61,0,0,0,0
7,Еврейская автономная область,Биробиджанская,106,219,236,0,144,16,76,16,144,1,159,0,0,0,15,11,130,1,1,0,1
8,Еврейская автономная область,Биробиджанская,107,94,96,0,85,3,8,3,85,4,84,0,0,0,8,12,64,0,0,0,0
9,Еврейская автономная область,Биробиджанская,108,100,107,0,64,3,40,3,64,2,65,0,0,0,2,1,59,2,0,0,1
10,Еврейская автономная область,Биробиджанская,109,386,426,0,266,17,143,17,266,9,274,0,0,0,37,21,213,2,0,1,0
11,Еврейская автономная область,Биробиджанская,110,502,559,0,314,27,218,27,314,2,339,0,0,0,31,27,277,2,0,2,0
12,Еврейская автономная область,Биробиджанская,111,203,199,0,125,3,71,3,125,3,125,0,0,1,12,16,95,1,0,0,0
13,Еврейская автономная область,Биробиджанская,112,307,337,0,177,16,144,16,177,3,190,0,0,2,13,18,154,0,0,2,1
14,Еврейская автономная область,Биробиджанская,113,489,514,0,317,35,162,35,317,5,347,0,0,5,19,19,297,1,4,1,1
15,Еврейская автономная область,Биробиджанская,114,264,289,0,189,10,90,10,189,5,194,0,0,0,18,13,161,0,1,1,0
16,Еврейская автономная область,Биробиджанская,115,98,105,0,57,8,40,8,57,2,63,0,0,0,3,8,51,1,0,0,0
17,Еврейская автономная область,Биробиджанская,116,198,185,0,112,7,66,7,112,3,116,0,0,0,15,6,95,0,0,0,0
18,Еврейская автономная область,Биробиджанская,117,197,200,0,118,11,71,11,118,0,129,0,0,0,9,5,114,1,0,0,0
19,Еврейская автономная область,Биробиджанская,118,420,440,0,255,13,172,13,255,6,262,0,0,2,39,19,200,1,1,0,0
20,Еврейская автономная область,Биробиджанская,119,323,330,0,191,64,75,64,190,5,249,0,0,1,29,11,206,1,0,1,0
21,Еврейская автономная область,Биробиджанская,120,131,147,0,97,9,41,9,97,0,106,0,0,0,6,1,98,1,0,0,0
22,Еврейская автономная область,Биробиджанская,121,206,223,9,129,7,78,16,129,2,143,0,0,0,11,10,121,0,0,1,0
23,Еврейская автономная область,Биробиджанская,151,364,335,0,285,0,50,0,285,1,284,0,0,0,42,40,189,8,1,2,2
24,Еврейская автономная область,Биробиджанская,163,236,254,0,165,6,83,6,165,4,167,0,0,2,32,19,109,3,0,0,2
25,Еврейская автономная область,Биробиджанская,164,200,236,0,118,2,116,2,118,5,115,0,0,1,18,9,82,1,2,2,0
26,Еврейская автономная область,Биробиджанская,165,231,229,0,146,2,81,2,146,2,146,0,0,0,17,10,114,3,1,1,0
27,Еврейская автономная область,Биробиджанская,166,255,238,0,171,9,58,9,171,3,177,0,0,1,30,20,123,1,0,2,0
28,Еврейская автономная область,Биробиджанская,167,207,213,0,117,7,89,7,117,6,118,0,0,1,28,20,68,0,1,0,0
29,Еврейская автономная область,Биробиджанская,168,198,223,0,133,12,78,12,133,1,144,0,0,1,14,6,122,1,0,0,0
30,Еврейская автономная область,Биробиджанская городская,1,2331,2200,0,1312,38,850,38,1312,18,1332,0,0,12,302,101,886,10,7,6,8
31,Еврейская автономная область,Биробиджанская городская,2,2487,2300,0,1419,37,844,37,1417,26,1428,0,0,10,289,102,983,11,8,11,14
32,Еврейская автономная область,Биробиджанская городская,3,2130,2000,0,1226,20,754,20,1226,25,1221,0,0,10,253,114,806,11,9,9,9
33,Еврейская автономная область,Биробиджанская городская,4,1476,1400,0,841,28,531,28,841,18,851,0,0,4,191,88,546,9,6,4,3
34,Еврейская автономная область,Биробиджанская городская,5,2447,2300,0,1565,44,691,44,1564,22,1586,0,0,16,323,137,1055,22,11,9,13
35,Еврейская автономная область,Биробиджанская городская,6,2310,2100,0,1452,39,609,39,1451,26,1464,0,0,6,284,102,1038,18,9,4,3
36,Еврейская автономная область,Биробиджанская городская,7,2407,2200,0,1575,40,585,40,1575,26,1589,0,0,16,320,120,1083,23,5,13,9
37,Еврейская автономная область,Биробиджанская городская,8,2313,2200,0,1504,39,657,39,1502,28,1513,0,0,12,318,119,1030,12,6,11,5
38,Еврейская автономная область,Биробиджанская городская,9,2763,2600,0,1749,36,815,36,1749,43,1742,0,0,13,377,118,1164,23,13,17,17
39,Еврейская автономная область,Биробиджанская городская,10,1782,1600,0,968,22,610,22,968,6,984,0,0,14,209,79,646,12,4,13,7
40,Еврейская автономная область,Биробиджанская городская,11,1433,1300,0,885,20,395,20,881,17,884,0,0,6,198,56,596,12,1,8,7
41,Еврейская автономная область,Биробиджанская городская,12,1074,1000,0,656,16,328,16,656,9,663,0,0,6,130,47,457,7,5,8,3
42,Еврейская автономная область,Биробиджанская городская,13,1276,766,0,741,25,0,25,740,5,760,0,0,5,139,70,525,9,3,6,3
43,Еврейская автономная область,Биробиджанская городская,14,328,300,0,168,2,130,2,168,3,167,0,0,0,28,19,118,1,1,0,0
44,Еврейская автономная область,Биробиджанская городская,15,1204,1200,0,489,20,691,20,489,8,501,0,0,3,97,59,331,2,7,1,1
45,Еврейская автономная область,Биробиджанская городская,16,1170,1000,0,718,24,258,24,718,14,728,0,0,7,163,48,484,15,1,5,5
46,Еврейская автономная область,Биробиджанская городская,17,1339,861,0,843,18,0,18,843,9,852,0,0,8,167,70,568,11,4,9,15
47,Еврейская автономная область,Биробиджанская городская,18,1153,832,0,819,13,0,13,818,8,823,0,0,3,152,58,581,13,3,9,4
48,Еврейская автономная область,Биробиджанская городская,19,315,310,0,123,168,19,168,123,4,287,0,0,3,41,36,202,3,1,0,1
49,Еврейская автономная область,Биробиджанская городская,20,385,400,0,236,2,162,2,236,8,230,0,0,2,31,20,171,3,2,0,1
50,Еврейская автономная область,Биробиджанская городская,21,774,800,0,317,6,477,6,317,7,316,0,0,4,51,41,216,1,2,1,0
51,Еврейская автономная область,Биробиджанская городская,22,982,572,0,549,23,0,23,549,1,571,0,0,5,108,44,382,12,4,9,7
52,Еврейская автономная область,Биробиджанская городская,23,1787,1700,0,1146,35,519,35,1146,18,1163,0,0,7,249,92,775,19,5,11,5
53,Еврейская автономная область,Биробиджанская городская,24,729,700,0,279,18,403,18,279,3,294,0,0,5,73,48,165,3,0,0,0
54,Еврейская автономная область,Биробиджанская городская,25,725,700,0,356,13,331,13,356,3,366,0,0,5,82,43,226,4,2,2,2
55,Еврейская автономная область,Биробиджанская городская,26,1474,965,0,926,39,0,39,924,2,961,0,0,4,194,60,671,14,4,5,9
56,Еврейская автономная область,Биробиджанская городская,27,564,341,0,329,12,0,12,329,2,339,0,0,2,74,28,225,5,1,1,3
57,Еврейская автономная область,Биробиджанская городская,28,1695,1500,0,918,19,563,19,918,15,922,0,0,6,199,63,605,19,6,14,10
58,Еврейская автономная область,Биробиджанская городская,29,706,342,0,307,35,0,35,307,6,336,0,0,4,78,37,213,1,0,1,2
59,Еврейская автономная область,Биробиджанская городская,30,2076,1900,0,1308,40,552,40,1308,11,1337,0,0,10,281,90,901,22,11,9,13
60,Еврейская автономная область,Биробиджанская городская,31,2273,2100,0,1475,37,588,37,1474,27,1484,0,0,12,295,101,1034,10,12,10,10
61,Еврейская автономная область,Биробиджанская городская,32,1653,968,0,937,31,0,31,937,6,962,0,0,8,197,90,640,11,5,6,5
62,Еврейская автономная область,Биробиджанская городская,33,953,900,0,418,22,460,22,418,9,431,0,0,1,90,54,278,3,2,2,1
63,Еврейская автономная область,Биробиджанская городская,34,1653,1600,0,826,22,752,22,826,9,839,0,0,3,199,94,531,5,3,0,4
64,Еврейская автономная область,Биробиджанская городская,35,24,25,0,0,22,3,22,0,0,22,0,0,0,4,2,16,0,0,0,0
65,Еврейская автономная область,Биробиджанская городская,36,1448,1400,0,591,18,791,18,591,9,600,0,0,4,142,72,375,3,3,1,0
66,Еврейская автономная область,Биробиджанская городская,37,1565,1500,0,872,10,618,10,872,20,862,0,0,6,150,93,595,7,3,3,5
67,Еврейская автономная область,Биробиджанская городская,38,1231,1000,0,774,12,214,12,774,11,775,0,0,4,117,58,575,6,3,5,7
68,Еврейская автономная область,Биробиджанская городская,39,1314,1300,0,831,17,452,17,830,11,836,0,0,2,153,69,579,16,7,3,7
69,Еврейская автономная область,Биробиджанская городская,40,490,400,0,232,12,156,12,232,4,240,0,0,1,34,22,180,1,2,0,0
70,Еврейская автономная область,Биробиджанская городская,41,1208,1100,0,598,3,499,3,598,7,594,0,0,1,158,66,352,9,4,0,4
71,Еврейская автономная область,Биробиджанская городская,183,44,46,0,44,0,2,0,44,1,43,0,0,1,1,5,36,0,0,0,0
72,Еврейская автономная область,Биробиджанская городская,184,90,91,0,90,0,1,0,90,0,90,0,0,0,6,10,66,5,1,0,2
73,Еврейская автономная область,Ленинская,122,395,325,0,215,48,62,48,215,3,260,0,0,1,41,15,197,2,3,1,0
74,Еврейская автономная область,Ленинская,123,372,365,0,202,22,141,22,202,2,222,0,0,0,47,30,135,1,7,2,0
75,Еврейская автономная область,Ленинская,124,1007,850,0,561,25,264,25,561,22,564,0,0,4,89,67,395,4,5,0,0
76,Еврейская автономная область,Ленинская,125,153,130,0,120,3,7,3,120,7,116,0,0,0,22,8,85,0,1,0,0
77,Еврейская автономная область,Ленинская,126,184,150,0,103,3,44,3,103,0,106,0,0,0,22,24,59,0,1,0,0
78,Еврейская автономная область,Ленинская,127,1176,1080,0,997,0,83,0,997,16,981,0,0,3,113,120,705,19,5,12,4
79,Еврейская автономная область,Ленинская,128,213,170,0,114,18,38,18,114,12,120,0,0,0,4,22,92,0,0,1,1
80,Еврейская автономная область,Ленинская,129,1649,1240,0,1069,36,135,36,1069,19,1086,0,0,7,219,107,721,11,4,7,10
81,Еврейская автономная область,Ленинская,130,604,525,0,333,22,170,22,333,4,351,0,0,2,59,48,236,1,2,3,0
82,Еврейская автономная область,Ленинская,131,1300,1040,0,798,66,176,66,798,11,853,0,0,3,179,69,589,8,3,2,0
83,Еврейская автономная область,Ленинская,132,410,340,0,214,7,119,7,214,7,214,0,0,0,51,29,131,0,0,2,1
84,Еврейская автономная область,Ленинская,133,778,640,0,358,13,269,13,358,10,361,0,0,3,78,45,230,3,1,0,1
85,Еврейская автономная область,Ленинская,134,363,300,0,177,19,104,19,177,3,193,0,0,2,35,18,137,0,0,0,1
86,Еврейская автономная область,Ленинская,135,122,125,0,83,3,39,3,83,0,86,0,0,1,14,14,54,2,0,0,1
87,Еврейская автономная область,Ленинская,136,369,310,0,224,11,75,11,224,1,234,0,0,0,27,23,184,0,0,0,0
88,Еврейская автономная область,Ленинская,137,106,95,0,51,4,40,4,51,1,54,0,0,0,8,6,40,0,0,0,0
89,Еврейская автономная область,Ленинская,138,232,190,0,156,3,31,3,156,3,156,0,0,1,17,23,114,0,0,1,0
90,Еврейская автономная область,Ленинская,139,480,400,0,254,19,127,19,254,2,271,0,0,1,28,32,205,1,3,1,0
91,Еврейская автономная область,Ленинская,140,158,130,0,101,8,21,8,101,0,109,0,0,0,8,17,84,0,0,0,0
92,Еврейская автономная область,Ленинская,141,172,155,0,79,9,67,9,79,1,87,0,0,1,21,9,55,0,1,0,0
93,Еврейская автономная область,Ленинская,142,414,370,0,187,1,182,1,187,2,186,0,0,0,26,26,132,2,0,0,0
94,Еврейская автономная область,Ленинская,143,1260,970,0,755,25,190,25,755,8,772,0,0,5,116,76,531,33,3,3,5
95,Еврейская автономная область,Ленинская,144,362,315,0,222,16,77,16,222,2,236,0,0,1,48,22,164,0,0,0,1
96,Еврейская автономная область,Ленинская,145,236,210,0,135,13,62,13,135,2,146,0,0,1,25,16,101,1,1,0,1
97,Еврейская автономная область,Ленинская,146,662,580,0,466,8,106,8,466,6,468,0,0,2,47,34,373,7,3,0,2
98,Еврейская автономная область,Ленинская,147,400,360,0,211,15,134,15,211,1,225,0,0,0,24,12,186,1,1,0,1
99,Еврейская автономная область,Ленинская,148,153,130,0,85,11,34,11,85,1,95,0,0,0,19,9,66,1,0,0,0
100,Еврейская автономная область,Ленинская,149,227,195,0,124,11,60,11,124,4,131,0,0,3,11,17,98,1,1,0,0
