,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Республика Карелия,Беломорская,184,749,650,0,271,28,351,28,271,3,296,0,0,1,41,26,202,6,2,9,9
1,Республика Карелия,Беломорская,185,1839,1700,0,845,13,842,13,845,8,850,0,0,9,80,82,638,18,7,2,14
2,Республика Карелия,Беломорская,186,1372,1300,0,731,25,544,25,731,12,744,0,0,6,94,59,537,18,5,17,8
3,Республика Карелия,Беломорская,187,1870,1700,0,964,26,710,26,964,20,970,0,0,9,122,89,697,16,7,16,14
4,Республика Карелия,Беломорская,188,1207,1100,0,668,53,379,53,668,10,711,0,0,2,75,64,546,12,2,7,3
5,Республика Карелия,Беломорская,189,1417,1300,0,618,27,655,27,618,3,642,0,0,4,94,47,465,12,3,10,7
6,Республика Карелия,Беломорская,190,642,600,0,303,26,271,26,303,4,325,0,0,3,33,46,226,10,1,5,1
7,Республика Карелия,Беломорская,191,648,600,0,309,11,280,11,309,7,313,0,0,5,34,37,221,6,1,5,4
8,Республика Карелия,Беломорская,192,452,400,0,186,27,187,27,186,0,213,0,0,0,4,33,167,4,3,0,2
9,Республика Карелия,Беломорская,193,128,100,0,75,3,22,3,75,0,78,0,0,0,2,12,61,1,0,2,0
10,Республика Карелия,Беломорская,194,267,200,0,149,10,41,10,149,2,157,0,0,0,3,10,139,1,2,1,1
11,Республика Карелия,Беломорская,195,193,150,0,91,13,46,13,91,1,103,0,0,0,9,11,81,2,0,0,0
12,Республика Карелия,Беломорская,196,342,300,0,161,16,123,16,161,3,174,0,0,0,4,16,147,0,3,3,1
13,Республика Карелия,Беломорская,197,358,300,0,121,44,135,44,121,0,165,0,0,0,9,12,138,0,3,1,2
14,Республика Карелия,Беломорская,198,133,100,0,72,9,19,9,72,0,81,0,0,1,5,10,60,2,0,0,3
15,Республика Карелия,Беломорская,199,204,200,0,74,18,108,18,74,1,91,0,0,2,6,6,76,0,0,1,0
16,Республика Карелия,Беломорская,200,1394,1300,0,622,136,542,136,622,16,742,0,0,2,62,74,581,6,4,8,5
17,Республика Карелия,Беломорская,201,445,400,0,198,41,161,41,198,0,239,0,0,0,21,27,190,0,0,1,0
18,Республика Карелия,Беломорская,202,1284,1200,0,615,82,503,82,615,5,692,0,0,3,70,105,482,13,5,8,6
19,Республика Карелия,Беломорская,203,379,350,0,141,33,176,33,141,0,174,0,0,0,7,13,154,0,0,0,0
20,Республика Карелия,Беломорская,204,168,150,0,56,19,75,19,56,0,75,0,0,0,2,14,58,1,0,0,0
21,Республика Карелия,Калевальская,212,1950,1600,0,1122,69,409,69,1121,22,1168,0,0,9,132,104,860,27,8,11,17
22,Республика Карелия,Калевальская,213,1463,1200,0,748,83,369,83,748,15,816,0,0,6,89,93,592,13,9,7,7
23,Республика Карелия,Калевальская,214,246,220,0,140,27,53,27,140,6,161,0,0,3,19,31,106,1,0,1,0
24,Республика Карелия,Калевальская,215,1544,1400,0,592,194,614,194,592,10,776,0,0,9,79,86,584,10,6,1,1
25,Республика Карелия,Калевальская,216,283,240,0,199,28,13,28,199,2,225,0,0,0,47,21,154,3,0,0,0
26,Республика Карелия,Калевальская,217,397,380,0,206,28,146,28,206,3,231,0,0,3,14,15,190,4,1,3,1
27,Республика Карелия,Калевальская,218,294,280,0,165,17,98,17,165,3,179,0,0,1,13,24,137,4,0,0,0
28,Республика Карелия,Калевальская,219,348,300,23,180,20,77,43,180,2,221,0,0,2,11,25,179,1,0,1,2
29,Республика Карелия,Кемская,221,2017,2080,0,1209,55,816,55,1209,21,1243,0,0,6,123,91,962,25,9,10,17
30,Республика Карелия,Кемская,222,437,410,0,252,7,151,7,252,4,255,0,0,3,23,27,190,3,0,6,3
31,Республика Карелия,Кемская,223,1399,1370,0,849,41,480,41,849,16,874,0,0,7,72,70,680,14,8,15,8
32,Республика Карелия,Кемская,224,1511,1560,0,891,12,657,12,891,18,885,0,0,5,78,74,691,18,5,4,10
33,Республика Карелия,Кемская,225,1503,1520,0,836,32,652,32,836,21,847,0,0,4,84,96,621,14,7,9,12
34,Республика Карелия,Кемская,226,739,740,0,321,15,404,15,321,6,330,0,0,3,41,41,237,3,2,1,2
35,Республика Карелия,Кемская,227,191,190,0,83,10,97,10,83,4,89,0,0,1,4,8,72,0,1,2,1
36,Республика Карелия,Кемская,228,1174,1280,0,513,16,751,16,513,7,522,0,0,2,57,61,385,5,3,4,5
37,Республика Карелия,Кемская,229,191,190,0,98,9,83,9,98,2,105,0,0,0,5,26,73,0,1,0,0
38,Республика Карелия,Кемская,230,685,700,0,356,44,300,44,356,4,396,0,0,9,17,28,331,5,4,0,2
39,Республика Карелия,Кемская,231,1662,1730,0,734,55,941,55,734,9,780,0,0,3,64,83,604,8,7,4,7
40,Республика Карелия,Кемская,232,960,990,0,463,20,507,20,463,5,478,0,0,14,60,68,319,7,4,4,2
41,Республика Карелия,Кемская,233,314,300,0,151,13,136,13,151,1,163,0,0,0,6,25,128,2,0,1,1
42,Республика Карелия,Кемская,234,455,480,40,154,43,243,83,154,1,236,0,0,3,19,28,185,0,0,0,1
43,Республика Карелия,Кемская,235,484,380,0,275,16,89,16,275,4,287,0,0,2,24,25,222,6,4,3,1
44,Республика Карелия,Кондопожская,516,328,260,0,203,8,49,8,203,2,209,0,0,2,25,18,156,3,1,2,2
45,Республика Карелия,Кондопожская,517,456,360,0,203,17,140,17,203,8,212,0,0,5,28,31,141,1,2,3,1
46,Республика Карелия,Кондопожская,518,1642,1300,0,970,18,312,18,970,26,962,0,0,3,107,116,687,13,9,11,16
47,Республика Карелия,Кондопожская,519,1519,1200,0,905,26,269,26,905,19,912,0,0,7,120,87,660,16,4,7,11
48,Республика Карелия,Кондопожская,520,1600,1300,0,888,18,394,18,888,16,890,0,0,9,99,97,647,12,5,10,11
49,Республика Карелия,Кондопожская,521,1829,1500,0,1089,34,377,34,1089,26,1097,0,0,10,155,108,758,24,9,14,19
50,Республика Карелия,Кондопожская,522,2434,1950,0,1426,54,468,54,1426,25,1455,2,0,9,197,153,1015,33,10,14,24
51,Республика Карелия,Кондопожская,523,2587,2100,0,1642,34,424,34,1642,36,1640,0,0,12,221,153,1153,38,13,28,22
52,Республика Карелия,Кондопожская,524,1982,1570,0,1286,22,262,22,1285,27,1280,0,0,11,179,118,908,31,6,11,16
53,Республика Карелия,Кондопожская,525,1328,1070,0,751,10,309,10,751,7,754,0,0,6,116,80,523,12,0,5,12
54,Республика Карелия,Кондопожская,526,1861,1465,0,1206,13,246,13,1204,14,1203,0,0,9,184,111,833,19,8,16,23
55,Республика Карелия,Кондопожская,527,1362,1150,0,815,24,311,24,815,14,825,0,0,10,78,80,615,17,5,6,14
