,Название региона,название ТИК,номер УИК,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Мурманская область,Апатитская,165,2163,1700,0,1320,27,353,27,1320,37,1310,0,0,7,121,136,990,20,11,13,12
1,Мурманская область,Апатитская,166,2184,1700,0,1342,23,335,23,1342,23,1342,0,0,13,136,156,972,34,17,8,6
2,Мурманская область,Апатитская,167,1102,800,0,760,5,35,5,760,18,747,0,0,9,89,70,539,16,4,8,12
3,Мурманская область,Апатитская,168,1760,1400,0,1217,25,158,25,1216,29,1212,0,0,14,130,111,898,20,10,13,16
4,Мурманская область,Апатитская,169,939,700,0,625,11,64,11,625,19,617,0,0,5,53,54,467,15,4,8,11
5,Мурманская область,Апатитская,170,2221,1800,0,1547,31,222,31,1547,20,1558,0,0,13,168,148,1128,47,10,18,26
6,Мурманская область,Апатитская,171,2163,1800,0,1439,36,325,36,1439,23,1452,0,0,18,139,125,1080,32,14,20,24
7,Мурманская область,Апатитская,172,2102,1900,0,1442,43,415,43,1441,24,1460,0,0,6,168,148,1057,37,10,11,23
8,Мурманская область,Апатитская,173,855,700,0,548,18,134,18,548,8,558,0,0,5,60,43,424,15,2,2,7
9,Мурманская область,Апатитская,174,1767,1400,0,1222,10,168,10,1221,26,1205,0,0,9,149,130,833,38,10,13,23
10,Мурманская область,Апатитская,175,2273,1900,0,1442,55,403,55,1441,26,1470,0,0,17,153,140,1042,47,13,21,37
11,Мурманская область,Апатитская,176,2138,1800,0,1503,37,260,37,1503,26,1514,0,0,19,185,136,1046,52,13,22,41
12,Мурманская область,Апатитская,177,1872,1500,0,1257,44,199,44,1257,19,1282,0,0,13,122,113,948,40,5,14,27
13,Мурманская область,Апатитская,178,2447,2100,0,1742,48,310,48,1742,33,1757,0,0,8,237,143,1267,36,9,17,40
14,Мурманская область,Апатитская,179,1888,1700,0,1285,25,390,25,1284,23,1286,0,0,12,138,112,948,29,8,17,22
15,Мурманская область,Апатитская,180,1530,1300,0,1000,30,270,30,1000,19,1011,0,0,10,120,108,710,24,11,10,18
16,Мурманская область,Апатитская,181,1067,800,0,704,11,85,11,704,14,701,0,0,4,55,65,528,18,5,9,17
17,Мурманская область,Апатитская,182,2109,1700,0,1290,46,364,46,1289,18,1317,0,0,12,148,115,935,44,12,18,33
18,Мурманская область,Апатитская,183,2480,2000,0,1511,94,395,94,1511,26,1579,0,0,19,145,181,1150,38,10,17,19
19,Мурманская область,Апатитская,184,2364,1900,0,1720,23,157,23,1718,38,1703,0,0,18,198,147,1224,48,10,17,41
20,Мурманская область,Апатитская,185,1857,1600,0,1208,27,365,27,1206,21,1212,0,0,12,159,111,870,20,10,12,18
21,Мурманская область,Апатитская,186,2651,2100,0,1785,29,286,29,1781,29,1781,0,0,14,205,167,1292,37,17,15,34
22,Мурманская область,Апатитская,187,1879,1500,0,1336,16,148,16,1336,15,1337,0,0,11,148,128,973,22,7,25,23
23,Мурманская область,Апатитская,412,698,600,0,465,3,132,3,465,11,457,0,0,2,46,53,335,10,1,4,6
24,Мурманская область,Апатитская,735,581,700,0,574,0,126,0,574,1,573,0,0,5,28,62,436,20,4,10,8
25,Мурманская область,Апатитская,736,156,500,0,152,0,348,0,152,8,144,0,0,2,4,40,78,17,1,2,0
26,Мурманская область,Видяевская,296,1102,1100,0,818,2,280,2,818,5,815,0,0,5,68,60,651,12,7,7,5
27,Мурманская область,Видяевская,297,1071,1100,0,797,7,296,7,797,9,795,0,0,4,65,57,646,14,4,2,3
28,Мурманская область,Видяевская,298,1015,1100,0,747,9,344,9,747,7,749,0,0,3,55,55,618,7,6,3,2
29,Мурманская область,Заозерская,291,1332,1240,0,940,9,291,9,940,8,941,0,0,4,59,88,764,10,7,3,6
30,Мурманская область,Заозерская,292,1475,1290,0,996,3,291,3,996,10,989,0,0,4,70,87,799,13,6,5,5
31,Мурманская область,Заозерская,293,1178,1070,8,787,61,214,69,786,9,846,0,0,5,55,64,692,16,4,3,7
32,Мурманская область,Заозерская,294,1324,1220,0,890,7,323,7,890,7,890,0,0,3,50,71,741,19,4,1,1
33,Мурманская область,Заозерская,295,1269,1240,0,837,4,399,4,837,14,827,0,0,4,62,73,665,15,4,1,3
34,Мурманская область,Кандалакшская,301,484,400,0,267,29,104,29,267,2,294,0,0,3,30,24,229,4,1,1,2
35,Мурманская область,Кандалакшская,302,294,230,0,179,2,49,2,179,3,178,0,0,0,15,9,141,6,3,2,2
36,Мурманская область,Кандалакшская,303,211,160,0,98,4,58,4,98,1,101,0,0,0,12,6,79,1,0,1,2
37,Мурманская область,Кандалакшская,304,503,400,0,279,7,114,7,279,6,280,0,0,1,31,12,228,5,1,2,0
38,Мурманская область,Кандалакшская,305,2364,1900,0,1432,41,427,41,1432,21,1452,0,0,11,166,116,1074,34,10,21,20
39,Мурманская область,Кандалакшская,306,1612,1300,0,1007,18,275,18,1005,18,1005,0,0,5,125,67,768,19,4,6,11
40,Мурманская область,Кандалакшская,307,1406,1170,0,809,13,348,13,809,10,812,0,0,4,73,58,641,20,3,6,7
41,Мурманская область,Кандалакшская,308,1370,1140,0,795,6,339,6,795,13,788,0,0,5,77,44,618,21,3,13,7
42,Мурманская область,Кандалакшская,309,976,700,0,604,19,77,19,604,14,609,0,0,5,80,62,419,22,8,6,7
43,Мурманская область,Кандалакшская,310,1421,1150,0,891,23,236,23,891,14,900,0,0,13,96,78,664,17,9,13,10
44,Мурманская область,Кандалакшская,311,1474,1240,0,879,20,341,20,879,7,892,0,0,2,108,82,654,21,12,6,7
45,Мурманская область,Кандалакшская,312,1705,1400,0,1038,19,343,19,1038,13,1044,0,0,5,111,103,760,27,8,14,16
46,Мурманская область,Кандалакшская,313,1711,1400,0,1063,14,323,14,1063,15,1062,0,0,9,117,81,787,31,12,11,14
47,Мурманская область,Кандалакшская,314,1003,820,0,616,17,187,17,616,14,619,0,0,6,58,56,461,16,8,4,10
